question_id,v1_gold,v1_source,v2_gold,v2_modification,v2_modifier,human_confirmed,used_in_experiments,notes
NEW_PL001_invest_ratio,CORRECT,pilot16_questions_v2.xlsx,CORRECT,NONE,ORIGINAL,NO,"pilot17_v3.4, pilot17_v3.5",EXPERIMENT_DONE
NEW_PL006_invest_ratio,CORRECT,pilot16_questions_v2.xlsx,CORRECT,NONE,ORIGINAL,NO,"pilot17_v3.4, pilot17_v3.5",EXPERIMENT_DONE
NEW_PL015_invest_ratio,CORRECT,pilot16_questions_v2.xlsx,CORRECT,NONE,ORIGINAL,NO,"pilot17_v3.4, pilot17_v3.5",EXPERIMENT_DONE
NEW_PL007_ro_water,CORRECT,pilot16_questions_v2.xlsx,CORRECT,NONE,ORIGINAL,NO,"pilot17_v3.4, pilot17_v3.5",EXPERIMENT_DONE
NEW_PL006_living_wastewater,CORRECT,pilot16_questions_v2.xlsx,CORRECT,NONE,ORIGINAL,NO,"pilot17_v3.4, pilot17_v3.5",EXPERIMENT_DONE
PL002_V01_Q01,CORRECT,pilot16_questions_v2.xlsx,CORRECT,NONE,ORIGINAL,NO,"pilot17_v3.4, pilot17_v3.5",EXPERIMENT_DONE
PL004_V01_Q01,CORRECT,pilot16_questions_v2.xlsx,CORRECT,NONE,ORIGINAL,NO,"pilot17_v3.4, pilot17_v3.5",EXPERIMENT_DONE
PL005_Emission_固体,CORRECT,pilot16_questions_v2.xlsx,CORRECT,NONE,ORIGINAL,NO,"pilot17_v3.4, pilot17_v3.5",EXPERIMENT_DONE
PL007_CaptureEfficiency_Q01,INCORRECT,pilot16_questions_v2.xlsx,INCORRECT,GPT_REVISED_OR_DISPUTED,AI_PRECHECKED,NO,"pilot17_v3.4, pilot17_v3.5",EXPERIMENT_DONE_GOLD_REVISED
PL008_VOCSMeasure_Q01,CORRECT,pilot16_questions_v2.xlsx,CORRECT,NONE,ORIGINAL,NO,"pilot17_v3.4, pilot17_v3.5",EXPERIMENT_DONE
NEW_PL010_invest_ratio,INCORRECT,pilot16_questions_v2.xlsx,INCORRECT,GPT_REVISED_OR_DISPUTED,AI_PRECHECKED,NO,"pilot17_v3.4, pilot17_v3.5",EXPERIMENT_DONE_GOLD_DISPUTED
PL008_VOCSTotal_Q01,INCORRECT,pilot16_questions_v2.xlsx,INCORRECT,NONE,ORIGINAL,NO,"pilot17_v3.4, pilot17_v3.5",EXPERIMENT_DONE
PL013_HazardousWaste_Q01,INCORRECT,pilot16_questions_v2.xlsx,INCORRECT,GPT_REVISED_OR_DISPUTED,AI_PRECHECKED,NO,"pilot17_v3.4, pilot17_v3.5",EXPERIMENT_DONE_GOLD_DISPUTED
PL014_CaptureAirflow_Q01,INCORRECT,pilot16_questions_v2.xlsx,INCORRECT,GPT_REVISED_OR_DISPUTED,AI_PRECHECKED,NO,"pilot17_v3.4, pilot17_v3.5",EXPERIMENT_DONE_GOLD_DISPUTED
PL001_Emission_固体,PARTIALLY_CORRECT,pilot16_questions_v2.xlsx,PARTIALLY_CORRECT,GPT_REVISED_OR_DISPUTED,AI_PRECHECKED,NO,"pilot17_v3.4, pilot17_v3.5",EXPERIMENT_DONE_GOLD_REVISED
PL008_DesignAirflow_Q01,PARTIALLY_CORRECT,pilot16_questions_v2.xlsx,PARTIALLY_CORRECT,GPT_REVISED_OR_DISPUTED,AI_PRECHECKED,NO,"pilot17_v3.4, pilot17_v3.5",EXPERIMENT_DONE_GOLD_DISPUTED
H01_PL004_DesignAirflow,PARTIALLY_CORRECT,heldout16候选,PARTIALLY_CORRECT,NONE,ORIGINAL,NO,NONE,HELDOUT_PENDING_EXPERIMENT
H02_PL004_VOCsMassBalance,CORRECT,heldout16候选,CORRECT,NONE,ORIGINAL,NO,NONE,HELDOUT_PENDING_EXPERIMENT
H03_PL004_HWClassify_OilBarrel,PARTIALLY_CORRECT,heldout16候选,PARTIALLY_CORRECT,NONE,ORIGINAL,NO,NONE,HELDOUT_PENDING_EXPERIMENT
H06_PL010_VOCsTotalSubstitution,INCORRECT,heldout16候选,INCORRECT,NONE,ORIGINAL,NO,NONE,HELDOUT_PENDING_EXPERIMENT
H07_PL015_HWStorageStandard,PARTIALLY_CORRECT,heldout16候选,PARTIALLY_CORRECT,NONE,ORIGINAL,NO,NONE,HELDOUT_PENDING_EXPERIMENT
H09_PL006_FencelineNMHC,INCORRECT,heldout16候选,INCORRECT,NONE,ORIGINAL,NO,NONE,HELDOUT_PENDING_EXPERIMENT
H10_PL002_StackHeightRate,PARTIALLY_CORRECT,heldout16候选,PARTIALLY_CORRECT,NONE,ORIGINAL,NO,NONE,HELDOUT_PENDING_EXPERIMENT
H04_PL004_MultiStandardApp,INSUFFICIENT,heldout16候选,INSUFFICIENT,NONE,ORIGINAL,NO,NONE,EVIDENCE_INSUFFICIENT_DEFERRED
H05_PL002_LivingWastewaterCalc,INSUFFICIENT,heldout16候选,INSUFFICIENT,NONE,ORIGINAL,NO,NONE,EVIDENCE_INSUFFICIENT_DEFERRED
