question_id,project_id,task_type,ep_category,question_text,gold_verdict,gold_status,human_confirmed,rounding_rule,acceptable_boundary,version,analysis_role,ep_category_note,ep_fixed_from_v3
NEW_PL001_invest_ratio,PL001,环保投资比例核算,E0P0,按'环保投资÷总投资×100%'复算，PL001项目环保投资占比应为多少？与报告填报值是否一致？,CORRECT,PROVISIONAL,NO,按报告原文精度,见金标答案,v4.0_20260904_preflight,REPORT_ONLY_CONTROL,,
NEW_PL006_invest_ratio,PL006,环保投资比例核算,E0P0,按'环保投资÷总投资×100%'复算，PL006项目环保投资占比应为多少？与报告填报值是否一致？,CORRECT,PROVISIONAL,NO,按报告原文精度,见金标答案,v4.0_20260904_preflight,REPORT_ONLY_CONTROL,,
NEW_PL010_invest_ratio,PL010,环保投资比例核算,E0P0,PL010报告总投资为15000万元、环保投资为174.5万元。按“环保投资÷总投资×100%”复算，并严格四舍五入保留1位小数，环保投资占比是多少？与报告填报的1.1%是否一致？,INCORRECT,PROVISIONAL_DISPUTED,NO,按报告原文精度,见金标答案,v4.0_20260904_preflight,REPORT_ONLY_CONTROL,,
NEW_PL015_invest_ratio,PL015,环保投资比例核算,E0P0,按'环保投资÷总投资×100%'复算，PL015项目环保投资占比应为多少？与报告填报值是否一致？,CORRECT,PROVISIONAL,NO,按报告原文精度,见金标答案,v4.0_20260904_preflight,REPORT_ONLY_CONTROL,,
PL001_Emission_固体,PL001,固体废物控制标准,E1P0,结合报告中一般工业固体废物采用库房暂存以及危险废物识别、贮存情况，判断固体废物管理依据是否适用、完整。请分别列明一般固废和危险废物依据，并指出不适用或缺失项。,PARTIALLY_CORRECT,PROVISIONAL_AI_REVISED,NO,按报告原文精度,见金标答案,v4.0_20260904_preflight,RAG_PRIMARY,,
PL002_V01_Q01,PL002,国民经济行业分类,E1P0,请结合项目产品、原辅材料和生产工艺，判断该报告是否适合作为塑胶行业种子问答样本，并判断行业类别是否基本合理。,CORRECT,PROVISIONAL,NO,按报告原文精度,见金标答案,v4.0_20260904_preflight,RAG_PRIMARY,,
PL005_Emission_固体,PL005,固体废物控制标准,E1P0,结合报告中一般工业固体废物采用库房暂存以及危险废物识别、贮存情况，判断固体废物管理依据是否适用、完整。请分别列明一般固废和危险废物依据，并指出是否缺少必须引用的标准。,CORRECT,PROVISIONAL_AI_REVIEWED,NO,按报告原文精度,见金标答案,v4.0_20260904_preflight,RAG_PRIMARY,,
PL004_V01_Q01,PL004,国民经济行业分类,E1P0,请结合项目产品、原辅材料和生产工艺，判断该报告行业类别是否基本合理。,CORRECT,PROVISIONAL,NO,按报告原文精度,见金标答案,v4.0_20260904_preflight,RAG_PRIMARY,,
PL008_VOCSTotal_Q01,PL008,VOCs源强与总量数值一致性,E0P1,核对PL008报告VOCs源强核算表的明细、合计及总量控制指标：各明细产生量能否汇总至表中合计，收集率和75%去除率能否与有组织、无组织排放量形成闭合计算链？,INCORRECT,PROVISIONAL,NO,按报告原文精度,见金标答案,v4.0_20260904_preflight,REPORT_ONLY_CONTROL,,
PL008_VOCSMeasure_Q01,PL008,VOCs治理措施一致性,E0P1,核对PL008报告工程分析、运营期环境保护措施及环境保护措施监督检查清单中的VOCs收集治理设施名称和排气筒信息是否一致。,CORRECT,PROVISIONAL,NO,按报告原文精度,见金标答案,v4.0_20260904_preflight,REPORT_ONLY_CONTROL,,
