question_id,query,query_sha256
"PL006_Construction_Q01","请根据报告中的产品方案、原辅材料、主要设备和生产工艺，判断建设内容是否完整，是否足以支撑后续产污分析。
关键事实：产品；产能；原辅材料；主要设备；生产工艺；工艺流程；99%；100%
[二、建设项目工程分析] 能 表2-2 项目主要产品年产量主要产品名称产能（万个/年）规格尺寸：长*宽*高*厚度基材材质涂装面积（m2）主要产品照片备注五金拉手抽屉拉手130212mm*22mm*26mm*5mm锌合金0.0147项目加工的产品事先经过外委加工：压铸→表面前处理→真空镀膜，本项目只对产品进行喷涂处理柜子拉手120335mm*25mm*17mm*6mm0.025门拉手50825mm*45*35mm*20mm0.116总计300/////3、原辅材料及能源消耗 表2-3 本项目原辅料消耗一览表类别名称单位用量性状包装规格最大储存量 原辅材料抽屉拉手万个/年130固体/15柜子拉手万个/年120固体/15门拉
[二、建设项目工程分析] 备注1水吨/年80办公、生活市政供水吨/年174.3水帘柜用水吨/年1886.8喷淋塔用水2电万kW·h/年30生产、生活市政供电3天然气万立方米/年8烘干线市政天然气管网 7、平面布置 项目位于一栋4层工业厂房的4楼，建筑面积约2000m2，设有喷漆线（除尘房、喷房、烘干线）、包装区域、办公室、一般仓储区、化学品仓库、危废仓等，具体布置详见附图4。 | 工艺流程和产排污环节 | 工艺流程简述（图示）： 图2-3 项目抽屉拉手、柜子拉手、门拉手生产工艺流程及产污环节示意图工艺流程说明： ①检查：人工检查原料是否有明显油迹，有明显油迹的要使用无尘擦拭布进行擦拭。 ②上挂：将经过检查的工件进行上
[二、建设项目工程分析] 水（酒精）99%的工业酒精，在常温下为澄清透明液体，有特殊刺激气味，易燃易挥发/100%//备注：根据水性纳米油检测报告，水性纳米油VOC含量为130g/L4、主要设备清单本项目主要设备及设施详见下表：表2-6 项目主要生产设备明细表序号设备名称设备参数数量单位工序1喷漆线除尘房长×宽×高（m）：2×1.5×2.51个除尘2喷房长×宽×高（m）：2×2×2.51个喷纳米油3烘干线面积：493m2，高2.5m1条烘干4空压机/1台提供动力5水帘柜循环水池尺寸（m）：2×0.6×0.31 台喷房废气收集和处理6静电喷枪共有喷枪8支，分成两组，每组4支喷枪，喷枪使用情况为一组生产另外一组备用8支喷纳米油项目产能匹配性分析项目喷房产品匹配性分析。 表2-7 项目产品方案及产能核算情况产品名称生产线线速度每米生产线最大挂数每挂最大可挂工件量工作时间最大产能申报",afd559f5ec679b629a8763e6e9c8c640ce69fcc537905ed3095f72f632e08581
"PL006_SourceStrength_Q01","请根据报告中的产品产量、原辅材料用量、产污系数及产生量、收集量、处理量和排放量，判断主要污染物源强核算是否前后一致。
关键事实：VOCs；TVOC；颗粒物；产生量；收集效率；有组织；无组织；11.3%；100%
[三、区域环境质量现状、环境保护目标及评价标准] 表4-8 有机废气以及漆雾的产生及排放情况污染物工序产生量t/a产生速率kg/h有组织无组织产生量t/a产生速率kg/h产生浓度mg/m3排放量t/a排放速率kg/h排放浓度mg/m3排放量t/a排放速率kg/h漆雾喷纳米油1.7671.0391.590.93551.9660.080.0472.5980.1770.104VOCs喷纳米油1.0110.5950.910.53529.7320.4460.26214.5690.1010.059VOCs烘干0.6740.3960.6070.35719.8220.2970.1759.7130.0670.039VOCs清洗喷枪0.0360.2110.0320.18910.5260.0160.0935.1580.0040.021VOCs（合计）喷纳米油、烘干、清洗喷枪1.7211.2021.5491.08160.800.7590.5329.4390.17
[表4-1 废气污染源源强核算结果及治理设施相关参数一览表] 表4-1 废气污染源源强核算结果及治理设施相关参数一览表 产排污环节 | 装置 | 污染源 | 污染物 | 污染物产生 | 治理措施 | 污染物排放 | 排放时间（h） | | | | | 核算方法 | 产生废气量(m³/h) | 产生量（t/a） | 产生速率（kg/h) | 收集效率（%） | 治理设施/治理工艺 | 去除效率（%） | 是否为可行技术 | 废气排放量(m³/h) | 排放量t/a | 排放速率kg/h | 排放浓度(mg/m³) | | 喷纳米油 | 喷枪 | 排气筒DA001 | 颗粒物 | 物料平衡法 | 18000 | 1.59 | 0.935 | 90 | 水帘柜+喷淋塔+干式过滤器 | 95 | 是 | 18000 | 0.08 | 0.047 | 2.598 | 1700 | | | 无组织排放 | 颗粒物 | | / | 0.177 | 0.1
[建设项目污染物排放量汇总表] 附表 建设项目污染物排放量汇总表 项目分类 | 污染物名称 | 现有工程排放量（固体废物产生量）① | 现有工程许可排放量② | 在建工程排放量（固体废物产生量）③ | 本项目排放量（固体废物产生量）④ | 以新带老削减量（新建项目不填）⑤ | 本项目建成后全厂排放量（固体废物产生量）⑥ | 变化量⑦ | 废气 | 颗粒物（有组织） | 0 | 0 | 0 | 0.101 | 0 | 0.101 | 0.101 | | 颗粒物（无组织） | 0 | 0 | 0 | 0.179 | 0 | 0.179 | 0.179 | | TVOC（有组织） | 0 | 0 | 0 | 0.759 | 0 | 0.759 | 0.759 | | TVOC（无组织） | 0 | 0 | 0 | 0.172 | 0 | 0.172 | 0.172 | | SO2（有组织） | 0 | 0 |
[三、区域环境质量现状、环境保护目标及评价标准] 一并经整室收集后通过一根28m高排气筒DA001进行高空排放。 项目烘干工序年工作1700h/a。 本项目的天然气年用量为80000m3/a，燃烧废气产生量为1088000m3/a，烘干工序天然气燃烧产生的污染物及排放情况详见下表。 表4-9 天然气产污系数及产生量类别SO2NOx颗粒物（烟尘）产污系数（kg/m3-原料）0.00020.001870.000286污染物产生量（t/a）0.0160.14960.02288（kg/h）0.00760.0710.0109表4-10 项目燃烧废气污染物源强计算污染物工序产生量t/a产生速率kg/h有组织无组织排放量t/a排放速率kg/h排放浓度mg/m3排放量t/a排放速率kg/hSO2烘干0.0160.0090.0140.0080.4710.0020.001NOx0.150.0880.1350.0794.40.0150.009颗粒物0.0230.01
[三、区域环境质量现状、环境保护目标及评价标准] 项目定期需要对喷房的喷枪进行清洗，清洗过程利用喷枪的供漆管道接入洗枪水包装桶进行抽出并从喷口处喷出即可达到清洗的效果。 根据企业提供信息并结合同类项目的生产经",ca7f6061c2aca9318ba810b10c0c52ef453826609b8bd0de13b24e42c01cb28f
"PL006_CaptureEfficiency_Q01","请根据废气产生工序、收集设施类型、密闭或集气罩条件及报告采用的收集效率，判断废气收集效率取值是否合理。
关键事实：密闭；负压；11.3%；100%
[三、区域环境质量现状、环境保护目标及评价标准] 表4-6 项目VOCs产生情况工序原料名称年耗量t/aVOCs检测结果VOCs产生系数VOCs的产生情况产生量t/a产生速率kg/h喷纳米油、烘干水性纳米油14.91130g/L11.3%1.6850.99清洗喷枪酒精0.036/ 100%0.0360.211 合计1.7211.202①废气收集和处理措施a.废气收集措施方案项目喷漆线设置为全封闭设计，由独立除尘房、喷房和烘烤线组成，设计换气次数为12 次/小时，工作时间内保持整体密闭且负压抽风。 废气量核算结果如下表所示：表4-7 项目喷房收集措施参数及风量核算一览表功能区收集方式设备/车间参数理论风量 （m3/h）设计风量 （m3/h）个数（个）长（m）宽（m）高（m）换气次数（次/h）喷漆线除尘房全密闭，负压设置121.52.5129018000喷房1222.5120烘烤线1面积：493m22.514790合计15000/项目喷",9518b7a2950b23b3ba8b349d0e8139eca7652163766a05b7d309f158862b1c9d
"PL006_ActivatedCarbon_Q01","请根据废气风量、VOCs处理负荷、活性炭类型、装填量、装填厚度、过滤风速和更换频次，判断活性炭治理设施参数是否合理、是否完整。
关键事实：VOCs；活性炭；蜂窝；碘值；过滤风速；停留时间；更换频次；废活性炭；18000m³/h；800mg/g；0.69m/s；1.2m/s；11.3%；100%
[三、区域环境质量现状、环境保护目标及评价标准] 设施名称参数指标主要参数二级活性炭吸附装置设计风量18000m³/h一级装置尺寸2.0m*2.4m*1.2m活性炭尺寸1.2m*1.5m*0.3m活性炭类型蜂窝活性炭密度500kg/m3活性炭碘值800mg/g炭层数量4层过滤风速0.69m/s停留时间0.43s活性炭数量1.08t二级装置尺寸2.0m*2.4m*1.2m活性炭尺寸1.2m*1.5m*0.3m活性炭类型蜂窝活性炭密度500kg/m3活性炭碘值800mg/g炭层数量4层过滤风速0.69m/s停留时间0.43s活性炭数量1.08t二级活性炭箱装碳量2.16t更换频次三个月一次废活性炭产生量9.43t由上表可知，项目二级活性炭吸附装置采用蜂窝状活性炭，活性炭层厚度为300mm，过滤风速为0.69m/s，符合《广东省工业源挥发性有机物减排量核算方法（试行）》中当活性炭吸附法采用蜂窝状活性炭时过滤风速应＜1.2m/s，活性炭层装填厚度
[三、区域环境质量现状、环境保护目标及评价标准] 表4-6 项目VOCs产生情况工序原料名称年耗量t/aVOCs检测结果VOCs产生系数VOCs的产生情况产生量t/a产生速率kg/h喷纳米油、烘干水性纳米油14.91130g/L11.3%1.6850.99清洗喷枪酒精0.036/ 100%0.0360.211 合计1.7211.202①废气收集和处理措施a.废气收集措施方案项目喷漆线设置为全封闭设计，由独立除尘房、喷房和烘烤线组成，设计换气次数为12 次/小时，工作时间内保持整体密闭且负压抽风。 废气量核算结果如下表所示：表4-7 项目喷房收集措施参数及风量核算一览表功能区收集方式设备/车间参数理论风量 （m3/h）设计风量 （m3/h）个数（个）长（m）宽（m）高（m）换气次数（次/h）喷漆线除尘房全密闭，负压设置121.52.5129018000喷房1222.5120烘烤线1面积：493m22.514790合计15000/项目喷",126852e60dcd08f569253e5d08bc9fbbb0a70c34ca99790169e312f89d3b8618
"PL007_Construction_Q01","请根据报告中的产品方案、原辅材料、主要设备和生产工艺，判断建设内容是否完整，是否足以支撑后续产污分析。
关键事实：产品；产能；原辅材料；生产工艺；工艺流程；80%；83%；67%
[二、建设项目工程分析] 801t分散缸5/0.8/150600研磨机/3/430036003600注：①按一个分散缸的单次生产量作为一个生产批次，单个分散缸的有效容量按容量的80%计。 ②项目设计水性涂料年产量为2400t，年产量达到分散缸和研磨机理论最大产能的83%和67%，因此项目生产设备产能满足企业的生产需要。 5、项目水平衡分析（1）生产用水◇产品用纯水项目使用1台纯水机用于制纯水，制纯水工艺为RO反渗透制纯水，工艺原理为：在一定的压力下，水分子(H2O)可以通过RO膜，而自来水中的无机盐、有机物、胶体、细菌、病毒等杂质无法透过RO膜，从而使一部分水透过RO膜分离出来，未透过的水因溶质增加形成浓水。
[二、建设项目工程分析] 、五层为生产车间（300m2），具体平面布置图见附图4。 项目工程组成见下表：表2-1 本项目工程组成项目内容备注主体工程生产车间位于5层，约300m2，用于水性涂料的生产，主要工序有投料、分散、研磨、调漆、包装等仓储工程原辅料仓位于4层，约300m2，储存原辅材料成品仓位于1层，约240m2，储存产品辅助工程实验室位于3层，约300m2，用于涂料小样的制作和检测。 主要工序有投料、分散等。 其中15m2用作打样间，主要工序有喷涂和烘干。 办公室位于2层，约300m2，供日常办公使用公用工程给排水系统供水来源为市政自来水，生活污水经三级化粪池预处理后排入杏坛镇污水处理厂，尾水排入顺德支流供电系统市政供
[二、建设项目工程分析] 2、实验室工作流程如图： 图2-3 项目实验室工作流程及产污环节示意图 工艺流程说明： 1、投料、分散：涂料小样生产的投料和分散工艺与水性涂料生产工艺基本一致，生产而得的涂料小样均用于后续喷涂和烘干的试验。",fd2065e0952a98f89cb69e32c67304c5824e4c9cf788febfb23115da865b1366
"PL007_SourceStrength_Q01","请根据报告中的产品产量、原辅材料用量、产污系数及产生量、收集量、处理量和排放量，判断主要污染物源强核算是否前后一致。
关键事实：TVOC；颗粒物；产生量；收集效率；处理效率；无组织；60%；30%；50%；40%；0.192t/a；1.920kg/h；95%；99%
[三、区域环境质量现状、环境保护目标及评价标准] 项目喷涂工序附着率可达60%，项目水性涂料产品的固含量为30%~50%（取中间值40%计）。 项目实验室打样喷涂工序年工作100小时。 经计算，项目喷涂的颗粒物的产生量为0.192t/a，产生速率为1.920kg/h。 打样喷涂工序在水帘柜中进行，打样喷涂废气通过水帘柜进行打样室的整室收集，收集效率可达95%，收集后与有机废气统一通过“滤芯除尘器+二级活性炭吸附”装置处理后通过30m排气筒（DA001）高空排放。 其中“水帘柜+滤芯除尘器”对漆雾的综合处理效率可达99%。 综上所述，项目的颗粒物的产排情况如下表所示。 表4-5 项目颗粒物产生及排放情况污染源投料（生产过程）投料（打样测试）喷涂（打样测试）合计污染物颗粒物颗粒物颗粒物颗粒物工作时间（h/a）300150100/产生情况产生量（t/a）0.2400.00010.1920.432产生速率（kg/h）0.8000.0011.9202.721有
[表4-2 废气污染源源强核算结果及相关参数一览表] 表4-2 废气污染源源强核算结果及相关参数一览表 工序 | 装置 | 污染源 | 污染物 | 污染物产生 | 治理措施 | 污染物排放 | 排放时间（h） | | | | | 核算方法 | 产生废气量(m³/h) | 产生量（t/a） | 产生速率（kg/h) | 收集效率（%） | 治理工艺 | 去除效率（%） | 废气排放量(m³/h) | 排放量t/a | 排放速率kg/h | 排放浓度(mg/m³) | | 投料（生产过程） | 分散机 | 排气筒DA001 | 颗粒物 | 系数法 | 20000 | 0.216 | 0.720 | 90 | 滤芯除尘器 | 99 | 20000 | 0.002 | 0.007 | 0.360 | 300 | | | 无组织 | 颗粒物 | | / | 0.024 | 0.080 | 0 | / | 0 | / | 0.024 | 0.0
[建设项目污染物排放量汇总表] 附表 建设项目污染物排放量汇总表 项目分类 | 污染物名称 | 现有工程排放量（固体废物产生量）① | 现有工程许可排放量② | 在建工程排放量（固体废物产生量）③ | 本项目排放量（固体废物产生量）④ | 以新带老削减量（新建项目不填）⑤ | 本项目建成后全厂排放量（固体废物产生量）⑥ | 变化量⑦ | 废气 | 废气量（万m3/a） | 0 | 0 | 0 | 4800 | / | 4800 | +4800 | | 颗粒物 | 0 | 0 | 0 | 0.004 | / | 0.004 | +0.004 | | TVOC | 0 | 0 | 0 | 1.084 | / | 1.084 | +1.084 | 废水 | CODcr | 0 | 0 | 0 | 0.005 | / | 0.005 | +0.005 | | BOD5 | 0 | 0 | 0 | 0.001 |",99d9ee484ee9de0878263a6cc0189f78e369241d3e8d0f541e859b708694e7de
"PL007_DesignAirflow_Q01","请根据理论排气量、收集点数量、同时运行情况、治理设施处理能力和排气筒风量，判断报告采用的废气设计风量是否合理。
关键事实：风机风量；17388m3/h；20000m3/h；1050m3/h；18438m3/h；95%；90%
报告缺失槽位：同时运行情况；设计余量
[三、区域环境质量现状、环境保护目标及评价标准] （2）一般工业废固体物定点收集后外卖给回收商； （3）要求项目于车间内建设一个占地面积≥5m2的危险废物暂存间。
[三、区域环境质量现状、环境保护目标及评价标准] 表4-8 项目工序所需风量一览位置数量尺寸（长×宽×高）换气次数理论所需风量设计风机风量分散机、研磨机和包装工位21个————17388m3/h20000m3/h打样间1个15m2×3.5m20次/h1050m3/h综上，项目废气收集风量理论值合计为18438m3/h。 项目设计收集风量为20000m3/h，设计风机风量大于项目废气收集的理论所需风量。 为确保分散、研磨和调漆废气的收集效率，要求在生产过程中分散缸的投料口应处于闭合状态，参考《广东省工业源挥发性有机物减排量核算方法（试行）》“设备废气排口直连”方式下收集收集效率可达95%，考虑到生产过程中废气会通过生产设备和分散缸连结处的缝隙少量逸出，本次评价保守取“集气管道接入分散缸自带的排气口”的方式收集效率为90%； 而打样间采用“全密封空间-单层密闭负压收集”的方式收集效率可达95%。 ◇项目废气处理工艺选择：①有机废气处理工艺根据《挥发性",04d4c38c5e119eac0a960e295b39d4e3e625c78783bc532ab46f58bc27a204a0
"PL007_CaptureEfficiency_Q01","请根据废气产生工序、收集设施类型、密闭或集气罩条件及报告采用的收集效率，判断废气收集效率取值是否合理。
关键事实：收集效率；密闭；90%；0.3m/s；集气管道接入分散缸排气口
[三、区域环境质量现状、环境保护目标及评价标准] 料的配料、投加、反应、混合、研磨、分散、调色、兑稀、过滤、干燥以及灌装或包装过程，应采用密闭设备或在密闭空间内操作，废气应排至废气收集处理系统； 无法密闭的，应采取局部气体收集措施，废气应排至废气收集处理系统通过集气管道接入分散缸顶部设置的排气口进行收集，收集效率可达90%。 符合企业应建立台账，记录含VOCs原辅材料和含VOCs产品的名称、使用量、回收量、废弃量、去向以及VOCs含量等信息。 台账保存期限不少于3年项目建成后定按要求制相应的物料台帐符合废气收集处理系统收集的废气中NMHC初始排放速率≥3kg/h时，应配置VOCs处理设施，处理效率不应低于80%； 对于重点地区，收集的废气中NMHC出事排放速率≥2kg/h时，应配置VOCs处理设施，处理效率不应低于80%。 采用的原辅材料符合国家有关低VOCs含量产品规定的除外项目采用的原辅材料属于低（无）VOCs含量产品符合其他要求项目通风生产设
[一、建设项目基本情况] 项目分散、研磨和调漆有机废气通过集气管道接入分散缸自带的排气口进行收集，操作口或或缝隙风速风速均大于0.3m/s符合4.201、涂料、油墨及胶粘剂工业企业有机废气排气筒排放浓度不高于《涂料、油墨及胶粘剂工业大气污染物排放标准》（GB 37824-2019）排放限值要求，其他无行业标准的企业有机废气排气筒排放浓度不高于广东省《大气污染物排放限值》（DB4427-2001）第Ⅱ时段排放限值，若国家和我省出台并实施适用于该行业的大气污染物排放标准，则有机废气排气筒排放浓度不高于相应的排放限值； 若收集的废气中NMHC初始排放速率≥3kg/h，处理效率≥80%； 2、厂区内无组织排放监控点NMHC的小时平均浓度值不超过6mg/m3，任意一次浓度值不超过20mg/m3。 1.项目有机废气有组织排放执行《涂料、油墨及胶粘剂工业大气污染物排放标准》（GB 37824-2019）表2大气污染物特别排放限值；",21cdf69becf23b1fdaa0d1eeb6fb14dace42a3f4577c2857d7765aecdc104c2a
"PL008_Construction_Q01","请根据报告中的产品方案、原辅材料、主要设备和生产工艺，判断建设内容是否完整，是否足以支撑后续产污分析。
关键事实：产品；原辅材料；主要设备；3kg/h
[二、建设项目工程分析] 公用工程表2-10 能源及水耗一览表产品类别名称单位数量备注搬迁前变化量搬迁后能耗及水耗生活用水m3/a100+50150市政自来水厂供给生产用水m3/a141. 6547+178. 1585319. 8132电万千瓦时/年8+412市政供电，不设备用发电机项目用水由市政自来水厂供给，主要用水为职工生活用水和生产用水。 表2-11水平衡表污染源用水工序（种类）用水量废水去向性质新鲜水逆流用水回用水排水量损耗量回用量进入产品量生活生活用水150001351500生活污水生产产品生产用水255. 399505. 28000260. 6795生产废水分散机清洗用水1. 72001. 5480. 17
[二、建设项目工程分析] 表2-1 项目工程组成表项目内容规模用途主体工程一楼生产车间800m2位于1楼，室高7m，设有分散机、分散缸、砂磨机、灌装机等，用于水性涂料的生产二楼生产车间800m2位于2楼，室高6m，设有分散机、分散缸、砂磨机等，用于UV涂料的生产储运工程仓库200m2位于2楼，室高6m，用于原料和成品的存放辅助工程办公室250m2位于2楼，室高6m，用于人员办公的场所实验室80m2位于2楼，室高6m，用于产品水性涂料的检测（UV涂料无需检测）120m2位于2楼，室高6m，用于新产品的研发公用工程供电系统1套由市政电网供应，项目内不设置备用发电机给水系统1套由市政供水管网供给环保工程水环保措施三级化粪池1
[二、建设项目工程分析] 表2-2 项目主要产品及年产量序号主要产品名称迁扩前（t/a）迁扩后（t/a）变化量（t/a）产品规格用途最大储存量（t）1水性涂料水性建筑涂料350500+15020kg/桶、50kg/桶、200kg/桶、工业涂料25水性工业涂料350500+150252UV涂料0300+30020kg/桶303新产品研发（水性涂料）021. 6+21. 6//表2-3项目生产经济效益分析表投入产出项目单价数量总价(万元/年 )项目产品单价数量总价(万元/年)一次性投入(设备购买、厂房装修、环保设备投资等)//200UV涂料3万元/吨300t/年900运营成本原辅材料2. 5万元/吨产品1103. 1513吨2757. 88劳动人员7. 2万元/人/年15人108生产用水4. 5元/吨313. 9297吨0. 141水性涂料3. 5万元/吨1000t/年3500环
[二、建设项目工程分析] 3、主要设备项目主要设备详见下表：表2-4 项目主要生产设备明细表生产单元名称设备名称单位数量设施参数能源类型工艺搬迁前变化量搬迁后涂料生产单元分散机台5+813功率7. 5kw*7功率22kw*1功率30kw*4功率40kw*1电分散分散缸个5+813详见表2-5. 1/贮存缸个0+99详见表2-5. 2/贮存砂磨机台7-43功率20kw*1功率30kw*2电研磨灌装机台011/电灌装投料工位个0+11/电投料辅助单元空压机台0+11功率7. 5kw电辅助设备实验检测单元打磨机台0+11/电水性涂料的检测小型喷枪支0+11喷枪的出口流速3kg/h电水帘柜台0+11功率0. 75kw电研磨机台0+11功率5kw电新产品的实验研发分散机台0+88功率2. 2kw*1功率1. 1kw*1功率0. 5kw*2功率0. 4kw*4电分散缸个0+88容积40L",5c38dcf12a8e341e85a086d62cc2fe2b2697308a6687cd0216ee73ffe1a62faa
"PL008_SourceStrength_Q01","请根据报告中的产品产量、原辅材料用量、产污系数及产生量、收集量、处理量和排放量，判断主要污染物源强核算是否前后一致。
关键事实：VOCs；颗粒物；产生量；收集效率；处理效率；有组织；无组织；75%；80%；95%；90%；4.544525t/a；3.635819t/a；2.72684t/a；0.9089t/a；0.90867t/a
[四、主要环境影响和保护措施] | 工作时间（h/a） | 水性建筑涂料 | 试喷、风干 | 25L/a | 51g/L | 0.001275 | 0.0080 | 0.3984 | 160h | 水性工业涂料 | | 25L/a | 2g/L | 0.00005 | 0.0003 | 0.0156 | 160h | 合计 | 0.001325 | 0.0083 | 0.4141 | / | 产污工序 | 污染物 | 产生情况 | 收集效率 | 处理效率 | 收集量t/a | 处理量t/a | 排放情况 | | | 产生量t/a | 产生速率kg/h | 产生浓度mg/m³ | | | | | 排放量t/a | 排放速率kg/h | 排放浓度mg/m³ | 投料、分散、分装、研发 | VOCs | 4.5432 | 3.528
[四、主要环境影响和保护措施] 表4-8 项目废气产生情况及有组织产排情况一览表产污工序污染物产生情况收集效率处理效率收集量t/a处理量t/a排放情况产生量t/a产生速率kg/h产生浓度mg/m³排放量t/a排放速率kg/h排放浓度mg/m³投料、分散、分装、研发VOCs4.54323.528176.480%75%3.634562.72590.90860.504825.24臭气浓度///80%//////试喷、风干VOCs0.0013250.1447.295%75%0.0012590.000940.00030.001970.0983臭气浓度///95%//////投料颗粒物0.07680.462380%95%0.06140.05840.00310.0412.048打磨颗粒物0.0004230.002820.14195%90%0.0004020.00040.000040.000270.0134试喷颗粒物0.0012480.
[建设项目污染物排放量汇总表] 从环境保护角度分析，项目在现地址进行建设是可行的。 | 附表 建设项目污染物排放量汇总表 项目分类 | 污染物名称 | 现有工程排放量（固体废物产生量）① | 现有工程许可排放量② | 在建工程排放量（固体废物产生量）③ | 本项目排放量（固体废物产生量）④ | 以新带老削减量（新建项目不填）⑤ | 本项目建成后全厂排放量（固体废物产生量）⑥ | 变化量⑦ | 废气 | 有组织颗粒物 | / | 0 | 0 | 0.00325 | 0 | 0.00325 | +0.00325 | | 无组织颗粒物 | / | 0 | 0 | 0.01548 | 0 | 0.03685 | +0.01548 | | 有组织VOCs | 0.0023 | 0.1854 | 0 | 0.9089 | 0.0023 | 0.908
[三、区域环境质量现状、环境保护目标及评价标准] 2、废气搬迁后，项目投料、分散、分装、研发、试喷、风干工序会产生有机废气，有机废气排放量为产生量为4.544525t/a，收集量为3.635819t/a，处理量为2.72684t/a，有机废气有组织排放量为0.9089t/a，无组织排放量为0.90867t/a，合计排放量为1.81757t/a。 已知搬迁前总量控制指标为0.1854t/a，则本次迁扩建新增总量1.63217t/a。 待项目审批时由生态环境部门根据《关于做好建设项目挥发性有机物（VOCs）排放削减替代工作的补充通知》（粤环函〔2021〕537 号）文件要求核定VOCs总量来源。
[四、主要环境影响和保护措施] 表4-7 项目试喷、风干有机废气产生情况一览表原料名称工序年用量产生系数年产生量（t/a）产生速率（kg/h）产生浓度（mg/m3）工作时间（h/a）水性建筑涂料试喷、风干25L/a51g/L0.0012750.00800.3984160h水性工业涂料25L/a2g/L0.000050.00030.0156160h合计0.0013250.00830.4141/◇涂料生产、试喷、风干过程产生的异味 项目涂料生产",4977a1498211ebf7502f0a8fed25ba31fa736900e5587ef6e7bbd379babb9981
