question_id,group,correctness,evidence_use,actionability,regulatory_basis,skill_workflow,applicable_total,applicable_max,normalized_100,rationale
PL001_Emission_固体,A,2,2,2,N/A,N/A,6,6,100.0,结论与参考答案一致，判定标准选取合理。准确引用报告中GB18599-2020在措施章节的引用作为证据，并给出补充列示的建议，符合评分规则中关于额外真实问题不扣分的要求。
PL001_Emission_固体,B,1,2,2,2,N/A,7,8,87.5,判定为部分完成，认为缺少GB18599-2020列示。虽指出了报告形式瑕疵，但忽略了参考答案明确该标准非必须且报告已在措施中引用的事实，导致结论过严，与金标不完全一致。
PL001_Emission_固体,C,1,2,2,N/A,2,7,8,87.5,判定存在问题，主要基于标准列示位置不一致。虽体现了审核技能并发现了数据自洽性问题，但对核心标准选取合理性的判断偏离了参考答案的宽容度，属于过度结论。
PL001_Emission_固体,D,1,2,2,2,2,9,10,90.0,判定存在问题，依据RAG指出GB18599适用边界问题。虽分析深入且发现名称不一致等真实问题，但对标准选取合理性的总体判断与参考答案“无误”的结论存在偏差，属过度审核。
PL001_EnvQuality_Q01,A,1,2,2,N/A,N/A,5,6,83.33,无RAG下准确识别表3-1年份混乱及地表水名称错配等真实问题，证据定位精准。因无法外部核验公报原文，结论保守判为存在问题而非参考答案的准确，属合理偏离，主要方向一致但有实质限制。
PL001_EnvQuality_Q01,B,2,2,2,2,N/A,8,8,100.0,利用RAG验证核心数据与公报一致，同时指出表格年份标注及变化率符号等报告自身错误。既确认了引用源正确性，又补充了参考答案未提及的真实瑕疵，符合评分规则中额外真实问题不扣分原则。
PL001_EnvQuality_Q01,C,1,2,2,N/A,2,7,8,87.5,完整体现内部核查工作流，精准发现表格年份错位及变化率符号错误。但因无RAG无法确认数据源准确性，判定为部分完成，虽指出的问题真实有效，但相对于参考答案的肯定性结论存在方向性差异。
PL001_EnvQuality_Q01,D,2,2,2,2,2,10,10,100.0,结合RAG与工作流，既验证了引用源正确，又详尽列出表格年份、符号及水体名称错配等具体错误。在确认参考答案核心结论基础上补充了真实质量问题，证据链完整，修改建议具体可执行。
PL001_V01_Q01,A,2,2,2,N/A,N/A,6,6,100.0,结论正确，证据引用准确。因rag/skill不可用，法规与流程评分为null。明确边界并提示C2921归类需核验，无问题时给出保持项与边界，可执行性强。
PL001_V01_Q01,B,2,2,2,2,N/A,8,8,100.0,结论与证据均正确，引用了分类标准支持判断。建议补充说明以增强论证，具备可操作性。skill不可用故流程为null，法规依据充分。
PL001_V01_Q01,C,2,2,2,N/A,2,8,8,100.0,结论正确，证据详实。完整体现分步核查与边界分析，指出主次关系判定缺失及标准原文未附，提供了具体核验方向。rag不可用故法规为null。
PL001_V01_Q01,D,2,2,2,2,2,10,10,100.0,结论正确，证据链完整。结合RAG验证了分类定义，完整执行审核工作流，明确了印刷工序不单独归类的边界，分析全面且依据充分。
PL002_Emission_噪声,A,2,2,2,N/A,N/A,6,6,100.0,准确识别标准限值及GB3096引用错误，指出功能区依据缺失。证据定位精准，修改建议具体可执行。无RAG/Skill条件下表现最优，结论与金标一致且补充了真实问题。
PL002_Emission_噪声,B,2,2,2,2,N/A,8,8,100.0,利用RAG验证限值正确，识别GB3096引用错误及功能区依据缺失。证据充分，法规依据完整，给出了明确的核实与修正建议，审核质量高。
PL002_Emission_噪声,C,2,2,2,N/A,2,8,8,100.0,体现完整审核工作流，识别标准引用错误及功能区依据缺失，额外发现夜间监测逻辑矛盾。证据链完整，行动建议具体，Skill应用规范。
PL002_Emission_噪声,D,2,2,2,2,2,10,10,100.0,结合RAG与Skill全面审核，识别GB3096误用、功能区依据缺失及监测计划矛盾。法规与工作流均满分，证据详实，建议可操作性强，综合表现最佳。
PL002_Emission_固体,A,1,2,2,N/A,N/A,5,6,83.33,结论与参考答案基本一致但过度判定不合规。准确识别新旧标准混用问题，证据定位精准。因rag不可用未扣分，但将非必须项缺失作为否定依据略显严苛。
PL002_Emission_固体,B,1,2,2,2,N/A,7,8,87.5,正确指出GB18599版本冲突及适用边界问题，证据充分且法规依据准确。虽判“存在问题”与金标“无误”有偏差，但属对报告真实缺陷的合理补充，未盲目偏袒。
PL002_Emission_固体,C,1,2,2,N/A,2,7,8,87.5,完整体现审核工作流，发现代码不一致等额外真实问题。因无RAG无法验证标准有效性，但内部一致性核查到位，结论虽严但有据，符合技能要求。
PL002_Emission_固体,D,1,2,2,2,2,9,10,90.0,综合表现最佳。既验证标准版本冲突，又发现危废代码不一致等实质问题，证据链完整，法规与工作流均达标。结论虽异于金标，但基于报告真实缺陷，不应扣分。
PL002_Emission_大气,A,2,2,2,N/A,N/A,6,6,100.0,结论判定存在问题合理，准确识别限值不一致、标准列示不全及臭气高度匹配等实质问题。证据引用精准定位报告内部矛盾，修改建议具体可执行。虽无RAG/Skill，但基于报告内容的审核深度与完整性优于其他回答。
PL002_Emission_大气,B,2,2,2,2,N/A,8,8,100.0,正确识别限值不一致及单位产品排放量缺失等关键问题，法规依据充分。证据使用规范，建议具备可操作性。相比R1/R4，未深入分析臭气浓度排气筒高度与标准值的匹配逻辑，细节核查略逊一筹。
