question_id,report_evidence_available,external_evidence_required,kb_support_status,parsed_fidelity_status,chunk_support_status,retrieval_support_status,prompt_support_status,answer_used_decisive_evidence,gold_status,scoring_status,candidate_root_cause,supporting_file_paths,missing_materials,trae_comment
NEW_PL001_invest_ratio,PENDING_AUDIT,YES,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,CONFIRMED,PRE_SCORED,NO_FAILURE_OBSERVED,见文件清单,待GPT审计确认,仅填写候选根因，最终审判由GPT结合原文完成
NEW_PL006_invest_ratio,PENDING_AUDIT,YES,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,CONFIRMED,PRE_SCORED,NO_FAILURE_OBSERVED,见文件清单,待GPT审计确认,仅填写候选根因，最终审判由GPT结合原文完成
NEW_PL015_invest_ratio,PENDING_AUDIT,YES,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,CONFIRMED,PRE_SCORED,NO_FAILURE_OBSERVED,见文件清单,待GPT审计确认,仅填写候选根因，最终审判由GPT结合原文完成
NEW_PL007_ro_water,PENDING_AUDIT,YES,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,CONFIRMED,PRE_SCORED,NO_FAILURE_OBSERVED,见文件清单,待GPT审计确认,仅填写候选根因，最终审判由GPT结合原文完成
NEW_PL006_living_wastewater,PENDING_AUDIT,YES,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,CONFIRMED,PRE_SCORED,NO_FAILURE_OBSERVED,见文件清单,待GPT审计确认,仅填写候选根因，最终审判由GPT结合原文完成
PL002_V01_Q01,PENDING_AUDIT,YES,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,CONFIRMED,PRE_SCORED,NO_FAILURE_OBSERVED,见文件清单,待GPT审计确认,仅填写候选根因，最终审判由GPT结合原文完成
PL004_V01_Q01,PENDING_AUDIT,YES,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,CONFIRMED,PRE_SCORED,NO_FAILURE_OBSERVED,见文件清单,待GPT审计确认,仅填写候选根因，最终审判由GPT结合原文完成
PL005_Emission_固体,PENDING_AUDIT,YES,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,CONFIRMED,PRE_SCORED,NO_FAILURE_OBSERVED,见文件清单,待GPT审计确认,仅填写候选根因，最终审判由GPT结合原文完成
PL007_CaptureEfficiency_Q01,PENDING_AUDIT,YES,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,REVISED,PRE_SCORED,NO_FAILURE_OBSERVED,见文件清单,待GPT审计确认,仅填写候选根因，最终审判由GPT结合原文完成
PL008_VOCSMeasure_Q01,PENDING_AUDIT,YES,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,CONFIRMED,PRE_SCORED,NO_FAILURE_OBSERVED,见文件清单,待GPT审计确认,仅填写候选根因，最终审判由GPT结合原文完成
NEW_PL010_invest_ratio,PENDING_AUDIT,YES,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,DISPUTED,PRE_SCORED,NO_FAILURE_OBSERVED,见文件清单,待GPT审计确认,仅填写候选根因，最终审判由GPT结合原文完成
PL008_VOCSTotal_Q01,PENDING_AUDIT,YES,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,CONFIRMED,PRE_SCORED,NO_FAILURE_OBSERVED,见文件清单,待GPT审计确认,仅填写候选根因，最终审判由GPT结合原文完成
PL013_HazardousWaste_Q01,PENDING_AUDIT,YES,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,DISPUTED,PRE_SCORED,NO_FAILURE_OBSERVED,见文件清单,待GPT审计确认,仅填写候选根因，最终审判由GPT结合原文完成
PL014_CaptureAirflow_Q01,PENDING_AUDIT,YES,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,DISPUTED,PRE_SCORED,NO_FAILURE_OBSERVED,见文件清单,待GPT审计确认,仅填写候选根因，最终审判由GPT结合原文完成
PL001_Emission_固体,PENDING_AUDIT,YES,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,REVISED,PRE_SCORED,NO_FAILURE_OBSERVED,见文件清单,待GPT审计确认,仅填写候选根因，最终审判由GPT结合原文完成
PL008_DesignAirflow_Q01,PENDING_AUDIT,YES,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,DISPUTED,PRE_SCORED,NO_FAILURE_OBSERVED,见文件清单,待GPT审计确认,仅填写候选根因，最终审判由GPT结合原文完成
H01_PL004_DesignAirflow,PENDING_AUDIT,YES,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING,NOT_RUN,UNDETERMINED_MISSING_LOG,见文件清单,待GPT审计确认,仅填写候选根因，最终审判由GPT结合原文完成
H02_PL004_VOCsMassBalance,PENDING_AUDIT,YES,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING,NOT_RUN,UNDETERMINED_MISSING_LOG,见文件清单,待GPT审计确认,仅填写候选根因，最终审判由GPT结合原文完成
H03_PL004_HWClassify_OilBarrel,PENDING_AUDIT,YES,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING,NOT_RUN,UNDETERMINED_MISSING_LOG,见文件清单,待GPT审计确认,仅填写候选根因，最终审判由GPT结合原文完成
H06_PL010_VOCsTotalSubstitution,PENDING_AUDIT,YES,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING,NOT_RUN,UNDETERMINED_MISSING_LOG,见文件清单,待GPT审计确认,仅填写候选根因，最终审判由GPT结合原文完成
H07_PL015_HWStorageStandard,PENDING_AUDIT,YES,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING,NOT_RUN,UNDETERMINED_MISSING_LOG,见文件清单,待GPT审计确认,仅填写候选根因，最终审判由GPT结合原文完成
H09_PL006_FencelineNMHC,PENDING_AUDIT,YES,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING,NOT_RUN,UNDETERMINED_MISSING_LOG,见文件清单,待GPT审计确认,仅填写候选根因，最终审判由GPT结合原文完成
H10_PL002_StackHeightRate,PENDING_AUDIT,YES,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING,NOT_RUN,UNDETERMINED_MISSING_LOG,见文件清单,待GPT审计确认,仅填写候选根因，最终审判由GPT结合原文完成
H04_PL004_MultiStandardApp,PENDING_AUDIT,YES,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING,NOT_RUN,UNDETERMINED_MISSING_LOG,见文件清单,待GPT审计确认,仅填写候选根因，最终审判由GPT结合原文完成
H05_PL002_LivingWastewaterCalc,PENDING_AUDIT,YES,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING,NOT_RUN,UNDETERMINED_MISSING_LOG,见文件清单,待GPT审计确认,仅填写候选根因，最终审判由GPT结合原文完成
