序号,skill_name,显示名称,旧路由ID,标准卡片数,SKILL路径,SHA256
1,review-eia-industry-classification,国民经济行业类别审核,01_国民经济行业类别,2,E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_正式库\04_Skill检索路由_15个Skill\skills\review-eia-industry-classification\SKILL.md,fb35925006e92f372ab4b00233790992f3e2e2da64491d52d4c816a9fa3fbb2f
2,calculate-eia-environmental-investment-ratio,环保投资核算审核,02_环保投资,1,E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_正式库\04_Skill检索路由_15个Skill\skills\calculate-eia-environmental-investment-ratio\SKILL.md,8f4916b62d42eadfa38b6bc23ab9ba5aba6534ffb6e3a82e8fd77ef6017c07d5
3,review-eia-three-lines-one-list-consistency,三线一单符合性审核,03_三线一单,2,E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_正式库\04_Skill检索路由_15个Skill\skills\review-eia-three-lines-one-list-consistency\SKILL.md,94ecd07e445bcf0a7451243f9f5f6e4fb3b684d96c394b579238e5590b190ea7
4,review-eia-construction-content-completeness,建设内容完整性审核,04_建设内容,2,E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_正式库\04_Skill检索路由_15个Skill\skills\review-eia-construction-content-completeness\SKILL.md,88bc2eff2f2450cf4ceda19d3410ad87f98d7e14b779cfc046140ff8230c4da7
5,review-eia-environmental-quality-data,环境质量现状数据审核,05_环境质量现状数据,1,E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_正式库\04_Skill检索路由_15个Skill\skills\review-eia-environmental-quality-data\SKILL.md,6b4c19f4d0a6ff9b59dab00605363b8d5e0c87fc0acd596f9d8b8acf9a17952a
6,review-eia-environmental-quality-standards,环境质量执行标准审核,06_环境质量执行标准,4,E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_正式库\04_Skill检索路由_15个Skill\skills\review-eia-environmental-quality-standards\SKILL.md,58f59e859a914ea4b55cf7d2a88839c511a2b3fc1031484136d42dfdbdf3e0f8
7,review-eia-pollutant-discharge-standards,污染物排放标准审核,07_污染物排放标准,14,E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_正式库\04_Skill检索路由_15个Skill\skills\review-eia-pollutant-discharge-standards\SKILL.md,67dac913b75bd75a18a048105510072490ccdea976eca533d62325c0ea442b3f
8,review-eia-pollutant-coefficient-applicability,产污系数适用性审核,08_产污系数合理性,2,E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_正式库\04_Skill检索路由_15个Skill\skills\review-eia-pollutant-coefficient-applicability\SKILL.md,6b1050cf6c3de9e0abb6f44b91ddd2e8eeae4ca1e7c4a6de593894b335dc9077
9,calculate-eia-pollutant-source-strength,源强定量核算审核,09_产污系数定量核算,4,E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_正式库\04_Skill检索路由_15个Skill\skills\calculate-eia-pollutant-source-strength\SKILL.md,918f052dc2b3e9abfa4d6df110bc802f405296f50f53e03305fdeee47f09d0ca
10,calculate-eia-exhaust-capture-airflow,废气收集形式及排气量审核,10_废气收集形式及排气量,2,E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_正式库\04_Skill检索路由_15个Skill\skills\calculate-eia-exhaust-capture-airflow\SKILL.md,5c95c19aa5a7cc1afea4308422f579cd0c4dca697f74a7f215cba7828774cc2e
11,review-eia-exhaust-design-airflow,废气设计风量审核,11_废气收集风量与设计风量,2,E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_正式库\04_Skill检索路由_15个Skill\skills\review-eia-exhaust-design-airflow\SKILL.md,9c288a67f1bc9d4a302f7baede1b31cbc6da3dd367474cf82f82309f84086041
12,review-eia-exhaust-capture-efficiency,废气收集效率审核,12_废气收集效率,1,E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_正式库\04_Skill检索路由_15个Skill\skills\review-eia-exhaust-capture-efficiency\SKILL.md,ddd777b73d48fd1435020e8127ae3678850013afdbb53a4d7dc789e999d73699
13,review-eia-activated-carbon-parameters,活性炭参数审核,13_活性炭参数,1,E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_正式库\04_Skill检索路由_15个Skill\skills\review-eia-activated-carbon-parameters\SKILL.md,2802ba719e71bea0be9b7bb646a8e21b871f57c2edeb51e549b8761be8315ae3
14,review-eia-hazardous-waste-identification,危险废物识别审核,14_危险废物识别,1,E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_正式库\04_Skill检索路由_15个Skill\skills\review-eia-hazardous-waste-identification\SKILL.md,ead69b4fe75bb7eb4540f5ee3e415d803897d3e24c0ba6e9bd04a732b54eac3d
15,review-eia-vocs-total-control,VOCs总量控制审核,15_VOCs总量控制,1,E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_正式库\04_Skill检索路由_15个Skill\skills\review-eia-vocs-total-control\SKILL.md,df4b359c81ad475033c3be6333fb90aaff8c39137c3766bfea4b95d4b584ec07
