question_id,analysis_role,kb_content_status,rag_snapshot_available,rag_candidate_count,gold_passage_count,context_recall_at_5,decisive_clause_hit_at_5,version_validity,applicability_match,alignment_status,notes
PL001_Emission_固体,RAG_PRIMARY,CANDIDATE_PRESENT_NEEDS_VERIFY,YES,5,0,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,CANDIDATES_EXTRACTED_AWAITING_HUMAN,已从v3.4快照提取 3 条候选，需人工确认哪条是gold passage
PL002_V01_Q01,RAG_PRIMARY,CANDIDATE_PRESENT_NEEDS_VERIFY,YES,5,0,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,CANDIDATES_EXTRACTED_AWAITING_HUMAN,已从v3.4快照提取 3 条候选，需人工确认哪条是gold passage
PL004_V01_Q01,RAG_PRIMARY,CANDIDATE_PRESENT_NEEDS_VERIFY,YES,5,0,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,CANDIDATES_EXTRACTED_AWAITING_HUMAN,已从v3.4快照提取 3 条候选，需人工确认哪条是gold passage
PL005_Emission_固体,RAG_PRIMARY,CANDIDATE_PRESENT_NEEDS_VERIFY,YES,5,0,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,CANDIDATES_EXTRACTED_AWAITING_HUMAN,已从v3.4快照提取 3 条候选，需人工确认哪条是gold passage
PL007_CaptureEfficiency_Q01,RAG_PRIMARY,CANDIDATE_PRESENT_NEEDS_VERIFY,YES,4,0,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,CANDIDATES_EXTRACTED_AWAITING_HUMAN,已从v3.4快照提取 3 条候选，需人工确认哪条是gold passage
PL008_DesignAirflow_Q01,RAG_PRIMARY,CANDIDATE_PRESENT_NEEDS_VERIFY,YES,2,0,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,CANDIDATES_EXTRACTED_AWAITING_HUMAN,已从v3.4快照提取 2 条候选，需人工确认哪条是gold passage
PL013_HazardousWaste_Q01,RAG_PRIMARY,CANDIDATE_PRESENT_NEEDS_VERIFY,YES,6,0,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,CANDIDATES_EXTRACTED_AWAITING_HUMAN,已从v3.4快照提取 3 条候选，需人工确认哪条是gold passage
PL014_CaptureAirflow_Q01,RAG_PRIMARY,CANDIDATE_PRESENT_NEEDS_VERIFY,YES,3,0,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,CANDIDATES_EXTRACTED_AWAITING_HUMAN,已从v3.4快照提取 3 条候选，需人工确认哪条是gold passage
H01_PL004_DesignAirflow,RAG_PRIMARY,KB_CONTENT_MISSING,NO,0,0,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,CANDIDATES_EXTRACTED_AWAITING_HUMAN,无RAG快照，需先补知识库
H03_PL004_HWClassify_OilBarrel,RAG_PRIMARY,KB_CONTENT_MISSING,NO,0,0,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,CANDIDATES_EXTRACTED_AWAITING_HUMAN,无RAG快照，需先补知识库
H06_PL010_VOCsTotalSubstitution,RAG_PRIMARY,KB_CONTENT_MISSING,NO,0,0,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,CANDIDATES_EXTRACTED_AWAITING_HUMAN,无RAG快照，需先补知识库
H07_PL015_HWStorageStandard,RAG_PRIMARY,KB_CONTENT_MISSING,NO,0,0,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,CANDIDATES_EXTRACTED_AWAITING_HUMAN,无RAG快照，需先补知识库
H09_PL006_FencelineNMHC,RAG_PRIMARY,KB_CONTENT_MISSING,NO,0,0,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,CANDIDATES_EXTRACTED_AWAITING_HUMAN,无RAG快照，需先补知识库
H10_PL002_StackHeightRate,RAG_PRIMARY,KB_CONTENT_MISSING,NO,0,0,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,CANDIDATES_EXTRACTED_AWAITING_HUMAN,无RAG快照，需先补知识库
