file_path,category,exists,size_bytes,sha256,source
01_questions/current_25_questions.csv,questions,YES,8633,cdd2be92f86019011496f5da69511705c589b8e0b3375eb662445cfe9e45d5bb,E:\实验文件整理_按论文逻辑\pilot30_preflight_audit_20260904\01_questions\current_25_questions.csv
01_questions/current_25_questions.xlsx,questions,YES,8506,831cba162c3b15346c709603b1f7ba7b5afb4aaf090721d73adbb071521de2fd,E:\实验文件整理_按论文逻辑\pilot30_preflight_audit_20260904\01_questions\current_25_questions.xlsx
05_rag_knowledge_base/pilot17_rag_snapshot_v3_4.jsonl,rag_snapshot,YES,673005,73e9f6b963e1310480c3b3cb526d1655cf8418d4e3abfc2111d5ba5a9916c511,E:\实验文件整理_按论文逻辑\实验\03_knowledge_base\pilot17_rag_snapshot_v3_4.jsonl
05_rag_knowledge_base/pilot17_web_snapshot_v3_4.jsonl,web_snapshot,YES,44928,75c2e2f8ffe99f5ad603debf7ea3b664ff7797908cda11ce322c7c210d09b7f8,E:\实验文件整理_按论文逻辑\实验\03_knowledge_base\pilot17_web_snapshot_v3_4.jsonl
05_rag_knowledge_base/retrieval_index/bm25_index.json,rag_index,YES,57236586,c194831cd0f8ec355d0985a1af889ef86d500a8e7fdd001540958e09f8b062e0,E:\实验文件整理_按论文逻辑\实验\03_knowledge_base\retrieval_index\bm25_index.json
05_rag_knowledge_base/retrieval_index/child_metadata.jsonl,rag_index,YES,6332325,28b938e291085f68b7f8139069ff7702bc94af586ec1f26167a45b03b6951ba2,E:\实验文件整理_按论文逻辑\实验\03_knowledge_base\retrieval_index\child_metadata.jsonl
05_rag_knowledge_base/retrieval_index/parent_contexts.jsonl,rag_index,YES,4476762,ba994129121105892b0a2ba8527e915210e402225ad80d7ea18b2417db9e0cdb,E:\实验文件整理_按论文逻辑\实验\03_knowledge_base\retrieval_index\parent_contexts.jsonl
05_rag_knowledge_base/retrieval_index/retrieval_registry.json,rag_index,YES,1351,949c516895d995dbdb4e0ed74b007d9a9d8bbada67a14f6d06f58b011aef9ea4,E:\实验文件整理_按论文逻辑\实验\03_knowledge_base\retrieval_index\retrieval_registry.json
07_actual_prompts/system_prompt_FROZEN_v2.txt,prompt,YES,1161,74ed7282a9aaea7c2fcd9bf8ca34e3089674d51bc8b1e2513e3022cc5d418396,E:\实验文件整理_按论文逻辑\实验\04_prompts\system_prompt_FROZEN_v2.txt
07_actual_prompts/prompt_template_FROZEN_v1.md,prompt,YES,3782,f0510ba5cc8230ebdec47cb51dfe60a9b1e2652315d793c7d2d58e13c127572c,E:\实验文件整理_按论文逻辑\实验\04_prompts\prompt_template_FROZEN_v1.md
11_scripts_and_config/frozen_config.py,script,YES,4018,e77a66ac7a633d8dc02659c9577af44d343bebb4811b0d5ab13f57f42dd889bb,E:\实验文件整理_按论文逻辑\实验\05_scripts\frozen_config.py
11_scripts_and_config/run_pilot17_v3_5_3x3.py,script,YES,25661,247e295beddebc9d44a852599e09e42ce9efca6887b174cbec1210226aae8fff,E:\实验文件整理_按论文逻辑\实验\05_scripts\run_pilot17_v3_5_3x3.py
11_scripts_and_config/build_report_context_v3_3.py,script,YES,51347,bc6727c044b118df2368544f8406fae927e99ad97b2c7a278826dd3260f6423f,E:\实验文件整理_按论文逻辑\实验\05_scripts\build_report_context_v3_3.py
11_scripts_and_config/score_pilot17_v3_4_v2.py,script,YES,18157,dc8dbec44320380df0558b918272c715ea976fd8dbe5114723fc6cdd4d3216f7,E:\实验文件整理_按论文逻辑\实验\05_scripts\score_pilot17_v3_4_v2.py
08_model_outputs/pilot17_v3_5_full_results_pre_scoring.jsonl,results,YES,1380126,d6e948c00676012c371d5512b8716814801deed460cb959e50d04f856dc5354f,E:\实验文件整理_按论文逻辑\实验\07_results_v2\pilot17_v3_5_experiment\pilot17_v3_5_full_results_pre_scoring.jsonl
