output_section,source_file,sheet_or_table,fields_used,hash
01_Sheet1/2,E:\实验文件整理_按论文逻辑\07_评分与对比分析\48题_正式评分_20260822\04_formal_scoring_results.csv,-,condition/n(校验),519d3827a3a2e00a3c817bf55bb16fe44b76c1a19b8dcf1bcc498add202f9f17
01_Sheet3,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\新增40题_qwen3.8-max_正式实验_20260820\技术失败剔除题清单.csv,全表,question_id/失败组/最后错误类型/attempt次数/剔除原因,54ee9f2b24c07ef5f412562fd363b476b324d80231ba76feafc648259cdeb608
01_Sheet2,E:\实验文件整理_按论文逻辑\02_final_dataset_integrity_report.md,全文,阶段数字与剔除规则,cac6d08b9a04ce9d0a00d47f346215a1b6154657c067f11e80e6ac0a8db70494
02_Sheet1,E:\实验文件整理_按论文逻辑\07_评分与对比分析\48题_正式评分_20260822\04_formal_scoring_results.csv,全表192行,question_id/task_type/condition/五维评分/normalized_100/applicable_max,519d3827a3a2e00a3c817bf55bb16fe44b76c1a19b8dcf1bcc498add202f9f17
02_Sheet2,E:\实验文件整理_按论文逻辑\08_2x2析因统计_48题_20260822\03_descriptive\02_descriptive_statistics.csv,全表,N/mean/SD/median/IQR/CI,66518928d15e10687135a61ffae710362b2bbfc56c375ea643eb89f2841aec82
03_Sheet1,E:\实验文件整理_按论文逻辑\08_2x2析因统计_48题_20260822\08_robustness\robustness_three_scales.csv,全表,estimate/CI/p/dz(3口径),e31c8d886c968ec970cd95c31e30a6d28fcb5eb063ce68e764a59838926c38cb
03_Sheet1,E:\实验文件整理_按论文逻辑\08_2x2析因统计_48题_20260822\08_robustness\dimension_decomposition.csv,全表,三维效应,95ead583cec09566a5d6bec9b33945368f5071ff0fc573f187ce5208fccc663c
03_Sheet2,E:\实验文件整理_按论文逻辑\08_2x2析因统计_48题_20260822\06_pairwise\pairwise_holm_common3d.csv,全表,5 contrasts+Holm,0c278ce398e4307d746ede83a1046e24da1b16093faa6e57de56d767b1af6ae2
03_Sheet3,E:\实验文件整理_按论文逻辑\08_2x2析因统计_48题_20260822\02_analysis_dataset\question_level_effects.csv,全表,c3_*逐题效应,8aa102cdd2cc3038f0f5d21e7a1788ece543bbaba3ff0aca5850be3137faa51c
03_Sheet3,E:\实验文件整理_按论文逻辑\07_评分与对比分析\48题_正式评分_20260822\04_formal_scoring_results.csv,全表,common_3d(derived),519d3827a3a2e00a3c817bf55bb16fe44b76c1a19b8dcf1bcc498add202f9f17
04_Sheet1,E:\实验文件整理_按论文逻辑\08_2x2析因统计_48题_20260822\08_robustness\dimension_decomposition.csv,全表,三维×三效应,95ead583cec09566a5d6bec9b33945368f5071ff0fc573f187ce5208fccc663c
04_Sheet2,E:\实验文件整理_按论文逻辑\08_2x2析因统计_48题_20260822\03_descriptive\02_descriptive_statistics.csv,三维行,描述统计,66518928d15e10687135a61ffae710362b2bbfc56c375ea643eb89f2841aec82
05,E:\实验文件整理_按论文逻辑\08_2x2析因统计_48题_20260822\07_task_heterogeneity\task_heterogeneity_common3d.csv,全表,task_type/n/ABCD均值/三效应+bootstrapCI,d8611add9f18477ddb3e4674d8edd1dda45e62a96e9a6cf4371aa7e30c191086
05,E:\实验文件整理_按论文逻辑\08_2x2析因统计_48题_20260822\02_analysis_dataset\question_level_effects.csv,全表,简单效应类内均值,8aa102cdd2cc3038f0f5d21e7a1788ece543bbaba3ff0aca5850be3137faa51c
06_典型题ABCD对照,E:\实验文件整理_按论文逻辑\01_final_analysis_dataset_v2.xlsx,final_analysis_dataset_v2,gold_answer_path/parsed_path,6b5425f824902b7ba846a4474f2fda478ba0291f1c03df8f1f09b089713c1f9f
06_典型题ABCD对照,E:\实验文件整理_按论文逻辑\05_QA测试集与样本\第二阶段_21题正式评价集_冻结版_20260812.json,records,reference_answer(旧21题Gold),37bf435ae24630da5ad4cba41f47a24e8917cd981d153ea0e0c1c96f765047f0
06_典型题ABCD对照,E:\实验文件整理_按论文逻辑\05_QA测试集与样本\40题Gold最终人工核验_20260820\40题Gold证据索引_20260820.json,list,gold_full/verdict(新27题Gold),a9518c1e3524ce6f36adeada8f08313be1a2f9b30041b2c38407464631f75ac4
06_典型题ABCD对照,E:\实验文件整理_按论文逻辑\07_评分与对比分析\48题_正式评分_20260822\04_formal_scoring_results.csv,全表,三维评分/rationale,519d3827a3a2e00a3c817bf55bb16fe44b76c1a19b8dcf1bcc498add202f9f17
07/08_方法边界与GPT包,E:\实验文件整理_按论文逻辑\02_final_dataset_integrity_report.md,全文,样本构成/剔除规则/参数冻结,cac6d08b9a04ce9d0a00d47f346215a1b6154657c067f11e80e6ac0a8db70494
08_GPT包_信度数据,E:\实验文件整理_按论文逻辑\09_评分信度与敏感性检验_20260822\test_retest_dimension_stats.csv,全表,ICC/一致率,131f4253160c1d752b5f88a2123d7094055b4eff2dc78341341c5563fbe74957
08_GPT包_敏感性数据,E:\实验文件整理_按论文逻辑\09_评分信度与敏感性检验_20260822\leave_one_category_out_sensitivity.csv,全表,leave-one-out结果,86874953a278c2c27860e832a2ff67a985c9e2f7a7ccfaa6b45857119b810e1a
08_GPT包_MixedLM,E:\实验文件整理_按论文逻辑\08_2x2析因统计_48题_20260822\04_factorial_analysis\mixedlm_common3d.csv,全表,MixedLM p值,4d327d999dae42d6a870ecd77178e70ca23176fc2b4eb89c5891d7376aadf026
