question_id,report_id,EP_category,suggested_gold,evidence_sufficiency_precheck,total_slots,word_present,json_present,both_present,word_recall_pct,json_recall_pct,fidelity_pct,parse_loss_count,word_directly_verified,verdict
NEW_PL001_invest_ratio,PL001,,CORRECT,充分,3,2,2,2,66.7,66.7,66.7,0,True,PARTIAL
NEW_PL006_invest_ratio,PL006,,CORRECT,充分,3,1,2,1,33.3,66.7,33.3,0,True,PARTIAL
NEW_PL010_invest_ratio,PL010,,INCORRECT,充分,3,2,2,2,66.7,66.7,66.7,0,True,PARTIAL
NEW_PL015_invest_ratio,PL015,,CORRECT,充分,3,2,2,2,66.7,66.7,66.7,0,True,PARTIAL
PL001_Emission_固体,PL001,,INCORRECT,充分,3,1,1,1,33.3,33.3,33.3,0,True,PARTIAL
PL002_V01_Q01,PL002,,CORRECT,充分,3,1,1,1,33.3,33.3,33.3,0,True,PARTIAL
PL005_Emission_固体,PL005,,CORRECT,充分,3,0,0,0,0.0,0.0,0.0,0,True,EVIDENCE_MISSING
PL004_V01_Q01,PL004,,CORRECT,充分,3,2,2,2,66.7,66.7,66.7,0,True,PARTIAL
PL008_VOCSTotal_Q01,PL008,,INCORRECT,充分,3,2,2,2,66.7,66.7,66.7,0,True,PARTIAL
PL008_VOCSMeasure_Q01,PL008,,INSUFFICIENT,部分充分,3,1,1,1,33.3,33.3,33.3,0,True,PARTIAL
PL010_VOCSTotal_Q01,PL010,,INCORRECT,充分,3,1,1,1,33.3,33.3,33.3,0,True,PARTIAL
NEW_PL006_living_wastewater,PL006,,CORRECT,充分,3,1,1,1,33.3,33.3,33.3,0,True,PARTIAL
NEW_PL007_ro_water,PL007,,CORRECT,充分,3,2,2,2,66.7,66.7,66.7,0,True,PARTIAL
PL007_CaptureEfficiency_Q01,PL007,,CORRECT,充分,3,1,1,1,33.3,33.3,33.3,0,True,PARTIAL
PL008_DesignAirflow_Q01,PL008,,CORRECT,充分,3,2,2,2,66.7,66.7,66.7,0,True,PARTIAL
PL013_HazardousWaste_Q01,PL013,,INCORRECT,充分,3,0,0,0,0.0,0.0,0.0,0,True,EVIDENCE_MISSING
PL014_CaptureAirflow_Q01,PL014,,INCORRECT,充分,3,1,1,1,33.3,33.3,33.3,0,True,PARTIAL
