question_id,project_id,project_name,question_text_current,task_type,ep_category,current_gold_verdict,current_gold_answer,gold_status,human_review_status,experiment_status,source_workbook,source_sheet,source_row,required_report_evidence,required_external_evidence,expected_kb_source,notes
NEW_PL001_invest_ratio,PL001,佛山市顺德区某五金电器厂新建项目,环保投资比例核算,环保投资比例核算,E1P1,CORRECT,见金标文件,PROVISIONAL,NOT_CONFIRMED,EXPERIMENT_DONE,pilot16_questions_v2.xlsx,01_题目清单,MULTIPLE,待逐题审计,是,法规标准知识库（v3.4快照）,
NEW_PL006_invest_ratio,PL006,佛山市顺德区某电子有限公司新建项目,环保投资比例核算,环保投资比例核算,E1P1,CORRECT,见金标文件,PROVISIONAL,NOT_CONFIRMED,EXPERIMENT_DONE,pilot16_questions_v2.xlsx,01_题目清单,MULTIPLE,待逐题审计,是,法规标准知识库（v3.4快照）,
NEW_PL015_invest_ratio,PL015,佛山市顺德区某包装印刷厂新建项目,环保投资比例核算,环保投资比例核算,E1P1,CORRECT,见金标文件,PROVISIONAL,NOT_CONFIRMED,EXPERIMENT_DONE,pilot16_questions_v2.xlsx,01_题目清单,MULTIPLE,待逐题审计,是,法规标准知识库（v3.4快照）,
NEW_PL007_ro_water,PL007,佛山市顺德区某新材料有限公司新建项目,RO浓水去向判断,RO浓水去向判断,E1P0,CORRECT,见金标文件,PROVISIONAL,NOT_CONFIRMED,EXPERIMENT_DONE,pilot16_questions_v2.xlsx,01_题目清单,MULTIPLE,待逐题审计,是,法规标准知识库（v3.4快照）,
NEW_PL006_living_wastewater,PL006,佛山市顺德区某电子有限公司新建项目,生活污水核算,生活污水核算,E1P1,CORRECT,见金标文件,PROVISIONAL,NOT_CONFIRMED,EXPERIMENT_DONE,pilot16_questions_v2.xlsx,01_题目清单,MULTIPLE,待逐题审计,是,法规标准知识库（v3.4快照）,
PL002_V01_Q01,PL002,佛山市顺德区某塑料加工厂新建项目,行业分类判定,行业分类判定,E1P0,CORRECT,见金标文件,PROVISIONAL,NOT_CONFIRMED,EXPERIMENT_DONE,pilot16_questions_v2.xlsx,01_题目清单,MULTIPLE,待逐题审计,是,法规标准知识库（v3.4快照）,
PL004_V01_Q01,PL004,佛山市顺德区某塑胶制品有限公司改扩建项目,行业分类判定,行业分类判定,E1P0,CORRECT,见金标文件,PROVISIONAL,NOT_CONFIRMED,EXPERIMENT_DONE,pilot16_questions_v2.xlsx,01_题目清单,MULTIPLE,待逐题审计,是,法规标准知识库（v3.4快照）,
PL005_Emission_固体,PL005,佛山市顺德区某包装材料有限公司新建项目,固废控制标准,固废控制标准,E1P0,CORRECT,见金标文件,PROVISIONAL,NOT_CONFIRMED,EXPERIMENT_DONE,pilot16_questions_v2.xlsx,01_题目清单,MULTIPLE,待逐题审计,是,法规标准知识库（v3.4快照）,
PL007_CaptureEfficiency_Q01,PL007,佛山市顺德区某新材料有限公司新建项目,收集效率判定,收集效率判定,E1P0,INCORRECT,见金标文件,PROVISIONAL_AI_REVIEWED,NOT_CONFIRMED,EXPERIMENT_DONE_GOLD_REVISED,pilot16_questions_v2.xlsx,01_题目清单,MULTIPLE,待逐题审计,是,法规标准知识库（v3.4快照）,
PL008_VOCSMeasure_Q01,PL008,佛山市顺德区某塑胶五金厂新建项目,VOCs治理设施一致性,VOCs治理设施一致性,E1P0,CORRECT,见金标文件,PROVISIONAL,NOT_CONFIRMED,EXPERIMENT_DONE,pilot16_questions_v2.xlsx,01_题目清单,MULTIPLE,待逐题审计,是,法规标准知识库（v3.4快照）,
NEW_PL010_invest_ratio,PL010,佛山市顺德区某电器有限公司扩建项目,环保投资比例核算,环保投资比例核算,E1P1,INCORRECT,见金标文件,PROVISIONAL_AI_REVIEWED,NOT_CONFIRMED,EXPERIMENT_DONE_GOLD_DISPUTED,pilot16_questions_v2.xlsx,01_题目清单,MULTIPLE,待逐题审计,是,法规标准知识库（v3.4快照）,
PL008_VOCSTotal_Q01,PL008,佛山市顺德区某塑胶五金厂新建项目,VOCs总量数值一致性,VOCs总量数值一致性,E1P1,INCORRECT,见金标文件,PROVISIONAL,NOT_CONFIRMED,EXPERIMENT_DONE,pilot16_questions_v2.xlsx,01_题目清单,MULTIPLE,待逐题审计,是,法规标准知识库（v3.4快照）,
PL013_HazardousWaste_Q01,PL013,佛山市顺德区某五金喷涂厂新建项目,危废归类判定,危废归类判定,E1P0,INCORRECT,见金标文件,PROVISIONAL_AI_REVIEWED,NOT_CONFIRMED,EXPERIMENT_DONE_GOLD_DISPUTED,pilot16_questions_v2.xlsx,01_题目清单,MULTIPLE,待逐题审计,是,法规标准知识库（v3.4快照）,
PL014_CaptureAirflow_Q01,PL014,佛山市顺德区某塑料制品有限公司新建项目,收集形式与风量,收集形式与风量,E1P1,INCORRECT,见金标文件,PROVISIONAL_AI_REVIEWED,NOT_CONFIRMED,EXPERIMENT_DONE_GOLD_DISPUTED,pilot16_questions_v2.xlsx,01_题目清单,MULTIPLE,待逐题审计,是,法规标准知识库（v3.4快照）,
PL001_Emission_固体,PL001,佛山市顺德区某五金电器厂新建项目,固废控制标准,固废控制标准,E1P0,PARTIALLY_CORRECT,见金标文件,PROVISIONAL_AI_REVIEWED,NOT_CONFIRMED,EXPERIMENT_DONE_GOLD_REVISED,pilot16_questions_v2.xlsx,01_题目清单,MULTIPLE,待逐题审计,是,法规标准知识库（v3.4快照）,
PL008_DesignAirflow_Q01,PL008,佛山市顺德区某塑胶五金厂新建项目,设计风量复算,设计风量复算,E1P1,PARTIALLY_CORRECT,见金标文件,PROVISIONAL_AI_REVIEWED,NOT_CONFIRMED,EXPERIMENT_DONE_GOLD_DISPUTED,pilot16_questions_v2.xlsx,01_题目清单,MULTIPLE,待逐题审计,是,法规标准知识库（v3.4快照）,
H01_PL004_DesignAirflow,PL004,佛山市顺德区某塑胶制品有限公司改扩建项目,设计风量复算（集气罩公式法）,设计风量复算（集气罩公式法）,E1P1,PARTIALLY_CORRECT,见金标文件,AI_PRECHECKED,NOT_CONFIRMED,HELDOUT_PENDING_EXPERIMENT,heldout16候选,GPT修订待人工确认,MULTIPLE,待逐题审计,是,法规标准知识库（v3.4快照）,
H02_PL004_VOCsMassBalance,PL004,佛山市顺德区某塑胶制品有限公司改扩建项目,VOCs产排链条一致性核查,VOCs产排链条一致性核查,E1P1,CORRECT,见金标文件,AI_PRECHECKED,NOT_CONFIRMED,HELDOUT_PENDING_EXPERIMENT,heldout16候选,GPT高置信待人工确认,MULTIPLE,待逐题审计,是,法规标准知识库（v3.4快照）,
H03_PL004_HWClassify_OilBarrel,PL004,佛山市顺德区某塑胶制品有限公司改扩建项目,危废归类判定（废油桶HW08vsHW49）,危废归类判定（废油桶HW08vsHW49）,E1P0,PARTIALLY_CORRECT,见金标文件,AI_PRECHECKED,NOT_CONFIRMED,HELDOUT_PENDING_EXPERIMENT,heldout16候选,GPT高置信待人工确认,MULTIPLE,待逐题审计,是,法规标准知识库（v3.4快照）,
