question_id,report_id,EP_category,task_type,suggested_gold,gold_status,word_json_fidelity,both_present_slots,total_slots,web_status,rag_status,rag_has_instructional,known_issues,primary_root_cause,needs_rerun,rerun_scope,benchmark_status,is_blocker
NEW_PL001_invest_ratio,PL001,E0P0,环保投资比例核算,CORRECT,AI_PRECHECKED_NOT_CONFIRMED,PARTIAL,2,3,NOT_REQUIRED,NOT_REQUIRED,False,部分证据槽待确认; 金标待人工确认,NONE,NO,,PIPELINE_REPAIR_REQUIRED,False
NEW_PL006_invest_ratio,PL006,E0P0,环保投资比例核算,CORRECT,AI_PRECHECKED_NOT_CONFIRMED,PARTIAL,1,3,NOT_REQUIRED,NOT_REQUIRED,False,部分证据槽待确认; 金标待人工确认,NONE,NO,,PIPELINE_REPAIR_REQUIRED,False
NEW_PL010_invest_ratio,PL010,E0P0,环保投资比例核算,INCORRECT,AI_PRECHECKED_NOT_CONFIRMED,PARTIAL,2,3,NOT_REQUIRED,NOT_REQUIRED,False,部分证据槽待确认; 金标待人工确认,NONE,NO,,PIPELINE_REPAIR_REQUIRED,False
NEW_PL015_invest_ratio,PL015,E0P0,环保投资比例核算,CORRECT,AI_PRECHECKED_NOT_CONFIRMED,PARTIAL,2,3,NOT_REQUIRED,NOT_REQUIRED,False,部分证据槽待确认; 金标待人工确认,NONE,NO,,PIPELINE_REPAIR_REQUIRED,False
PL001_Emission_固体,PL001,E1P0,固体废物控制标准,INCORRECT,AI_PRECHECKED_NOT_CONFIRMED,PARTIAL,1,3,OK,OK,False,部分证据槽待确认; 金标待人工确认,NONE,NO,,PIPELINE_REPAIR_REQUIRED,False
PL002_V01_Q01,PL002,E1P0,国民经济行业分类,CORRECT,AI_PRECHECKED_NOT_CONFIRMED,PARTIAL,1,3,OK,NOT_REQUIRED,False,部分证据槽待确认; 金标待人工确认; A3_S1截断空输出（工程Bug）,OUTPUT_TRUNCATED,YES,A3_S1截断空输出（工程Bug）,PIPELINE_REPAIR_REQUIRED,False
PL005_Emission_固体,PL005,E1P0,固体废物控制标准,CORRECT,AI_PRECHECKED_NOT_CONFIRMED,EVIDENCE_MISSING,0,3,OK,OK,False,Word-JSON证据缺失; 金标待人工确认,NONE,NO,,INPUT_INSUFFICIENT,True
PL004_V01_Q01,PL004,E1P0,国民经济行业分类,CORRECT,AI_PRECHECKED_NOT_CONFIRMED,PARTIAL,2,3,OK,NOT_REQUIRED,False,部分证据槽待确认; 金标待人工确认,NONE,NO,,PIPELINE_REPAIR_REQUIRED,False
PL008_VOCSTotal_Q01,PL008,E0P1,VOCs源强与总量数值一致性,INCORRECT,AI_PRECHECKED_NOT_CONFIRMED,PARTIAL,2,3,NOT_REQUIRED,NOT_REQUIRED,False,部分证据槽待确认; 金标待人工确认,NONE,NO,,PIPELINE_REPAIR_REQUIRED,False
PL008_VOCSMeasure_Q01,PL008,E0P1,VOCs治理措施一致性,INSUFFICIENT,AI_PRECHECKED_NOT_CONFIRMED,PARTIAL,1,3,NOT_REQUIRED,NOT_REQUIRED,False,部分证据槽待确认; 金标待人工确认; 金标INSUFFICIENT存疑（候选改为INCORRECT）,GOLD_SUSPECT,YES,金标INSUFFICIENT存疑（候选改为INCORRECT）,PIPELINE_REPAIR_REQUIRED,False
PL010_VOCSTotal_Q01,PL010,E0P1,VOCs总量控制与一致性,INCORRECT,AI_PRECHECKED_NOT_CONFIRMED,PARTIAL,1,3,NOT_REQUIRED,HAS_INSTRUCTIONAL,True,部分证据槽待确认; RAG含指令型文档（需过滤）; 金标待人工确认; S2全部PARSE_FAILED（RAG指令污染）+ JSON章节标签错误,RAG_INSTRUCTION + SECTION_MISLABEL,YES,S2全部PARSE_FAILED（RAG指令污染）+ JSON章节标签错误,PIPELINE_REPAIR_REQUIRED,True
NEW_PL006_living_wastewater,PL006,E1P0,生活污水量核算,CORRECT,AI_PRECHECKED_NOT_CONFIRMED,PARTIAL,1,3,OK,HAS_INSTRUCTIONAL,True,部分证据槽待确认; RAG含指令型文档（需过滤）; 金标待人工确认,NONE,NO,,PIPELINE_REPAIR_REQUIRED,False
NEW_PL007_ro_water,PL007,E0P0,纯水制备水量核算,CORRECT,AI_PRECHECKED_NOT_CONFIRMED,PARTIAL,2,3,NOT_REQUIRED,NOT_REQUIRED,False,部分证据槽待确认; 金标待人工确认,NONE,NO,,PIPELINE_REPAIR_REQUIRED,False
PL007_CaptureEfficiency_Q01,PL007,E1P1,废气收集效率,CORRECT,AI_PRECHECKED_NOT_CONFIRMED,PARTIAL,1,3,PARTIAL,HAS_INSTRUCTIONAL,True,部分证据槽待确认; RAG含指令型文档（需过滤）; 金标待人工确认,NONE,NO,,PIPELINE_REPAIR_REQUIRED,False
PL008_DesignAirflow_Q01,PL008,E1P1,废气设计风量,CORRECT,AI_PRECHECKED_NOT_CONFIRMED,PARTIAL,2,3,NOT_REQUIRED,HAS_INSTRUCTIONAL,True,部分证据槽待确认; RAG含指令型文档（需过滤）; 金标待人工确认,NONE,NO,,PIPELINE_REPAIR_REQUIRED,False
PL013_HazardousWaste_Q01,PL013,E1P0,危险废物识别,INCORRECT,AI_PRECHECKED_NOT_CONFIRMED,EVIDENCE_MISSING,0,3,OK,OK,False,Word-JSON证据缺失; 金标待人工确认,NONE,NO,,INPUT_INSUFFICIENT,True
PL014_CaptureAirflow_Q01,PL014,E1P1,废气收集形式与理论排气量,INCORRECT,AI_PRECHECKED_NOT_CONFIRMED,PARTIAL,1,3,MISSING,HAS_INSTRUCTIONAL,True,部分证据槽待确认; Web证据缺失; RAG含指令型文档（需过滤）; 金标待人工确认,NONE,NO,,KNOWLEDGE_PENDING,True
