"category","file_role","source_file","source_path","copy_path","sha256","verified"
"国民经济行业分类","核心答案依据","national_economic_classification.jsonl","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\national_economic_classification.jsonl","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\01_国民经济行业分类问题\01_核心答案依据文件\national_economic_classification.jsonl","8b093eaa02ca54a06262e14b9336ba21e18d064d7b5e2a3439135ca48a8d1161","True"
"国民经济行业分类","核心答案依据","plastic_rubber_industry_classification_checked.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\plastic_rubber_industry_classification_checked.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\01_国民经济行业分类问题\01_核心答案依据文件\plastic_rubber_industry_classification_checked.md","758827ee6d34940c4161258b707316f9d8387a605de200dea16defa79da029c2","True"
"国民经济行业分类","实验Top5实际检索","#8_塑料制品业典型污染源及执行标准.csv","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\#8_塑料制品业典型污染源及执行标准.csv","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\01_国民经济行业分类问题\02_实验Top5实际检索文件\#8_塑料制品业典型污染源及执行标准.csv","c3ebd6ecb3a314ee2b1ce3478eafb224c1a0f8c7999e2cb5bb939db995fd8e15","True"
"国民经济行业分类","实验Top5实际检索","#8_塑料制品业典型污染源及执行标准.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\#8_塑料制品业典型污染源及执行标准.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\01_国民经济行业分类问题\02_实验Top5实际检索文件\#8_塑料制品业典型污染源及执行标准.md","ebd01f6c56f8107ba3b29be2186931040170619ca9cdfa8f62cdc040f0bc4a4c","True"
"国民经济行业分类","实验Top5实际检索","#9_塑料制品业产污系数_废气_官方手册.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\#9_塑料制品业产污系数_废气_官方手册.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\01_国民经济行业分类问题\02_实验Top5实际检索文件\#9_塑料制品业产污系数_废气_官方手册.md","0cc785c9c0f48eb83d172ea21f3a394c0719996112f9b099e38a547241b77750","True"
"国民经济行业分类","实验Top5实际检索","#9_塑料制品业产污系数_废气_速查.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\#9_塑料制品业产污系数_废气_速查.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\01_国民经济行业分类问题\02_实验Top5实际检索文件\#9_塑料制品业产污系数_废气_速查.md","9c3f11542b148b1cb8eabee86847c5a92bab40259fdffde85ebc60258170e644","True"
"国民经济行业分类","实验Top5实际检索","HJ_1122-2020.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\HJ_1122-2020.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\01_国民经济行业分类问题\02_实验Top5实际检索文件\HJ_1122-2020.md","2699b119e20c133e11afa7c1a0ade6c0514e154ea23d3b2e00f6ddb00c872ebc","True"
"国民经济行业分类","实验Top5实际检索","HJ_1207-2021.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\HJ_1207-2021.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\01_国民经济行业分类问题\02_实验Top5实际检索文件\HJ_1207-2021.md","acda5e58aa68a95473bf59c2c7b55aa957de1233fd81451bea584df0ada6a5f0","True"
"国民经济行业分类","实验Top5实际检索","national_economic_classification.json","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\national_economic_classification.json","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\01_国民经济行业分类问题\02_实验Top5实际检索文件\national_economic_classification.json","d9274e96488f687b5cc4c1f1d894825f4d464d0a76db5aad31141a19db75c957","True"
"国民经济行业分类","实验Top5实际检索","national_economic_classification.jsonl","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\national_economic_classification.jsonl","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\01_国民经济行业分类问题\02_实验Top5实际检索文件\national_economic_classification.jsonl","8b093eaa02ca54a06262e14b9336ba21e18d064d7b5e2a3439135ca48a8d1161","True"
"国民经济行业分类","实验Top5实际检索","plastic_rubber_industry_classification_checked.md","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\plastic_rubber_industry_classification_checked.md","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\01_国民经济行业分类问题\02_实验Top5实际检索文件\plastic_rubber_industry_classification_checked.md","758827ee6d34940c4161258b707316f9d8387a605de200dea16defa79da029c2","True"
"环境质量数据引用","核心答案依据","#6_2023年佛山市顺德区生态环境状态公报.txt","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\#6_2023年佛山市顺德区生态环境状态公报.txt","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\02_环境质量数据引用问题\01_核心答案依据文件\#6_2023年佛山市顺德区生态环境状态公报.txt","31487d7dc5ced8cfbbfab120035556d15d9bc1a5fcab62828c437762ed60b0d9","True"
"环境质量数据引用","核心答案依据","#6_2024年佛山市顺德区生态环境状态公报.txt","E:\实验文件整理_按论文逻辑\04_知识库构建\四层架构_证据增强版_20260812\01_标准全文_70文件\#6_2024年佛山市顺德区生态环境状态公报.txt","E:\实验文件整理_按论文逻辑\04_知识库构建\按问题类型分类_实验RAG文件_20260817\02_环境质量数据引用问题\01_核心答案依据文件\#6_2024年佛山市顺德区生态环境状态公报.txt","70d6a0966106900a6ffe428ccf1b986480fe68f5b5ba420f829e2d9eca9e236d","True"
