question_id,condition,blind_id,rag_available,skill_available,parsed_path,parsed_sha256
PL001_Emission_固体,A,R1,false,false,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\A\PL001_Emission_固体.json,e4aa7c2683887ad1cd535a9613e7c215b9f88be3c8e9513dfd6b7a0dc7a94176
PL001_Emission_固体,B,R2,true,false,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\B\PL001_Emission_固体.json,4b0240caac6d1155632dc783c3441d27209fcbf0f81c23c939b8146a71210041
PL001_Emission_固体,C,R3,false,true,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\C\PL001_Emission_固体.json,b69664a57a44fe655245d472724488632ee24ac479c8529b73eb35c66ba589f1
PL001_Emission_固体,D,R4,true,true,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\D\PL001_Emission_固体.json,112974da6da1ac33badd8826b7aef1723a0cffecc7f2651bb605012255019c38
PL001_EnvQuality_Q01,A,R1,false,false,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\A\PL001_EnvQuality_Q01.json,a413fbc27a55b161c86ad7b0193dbb6dd48fc0247439387214a109180a3e552b
PL001_EnvQuality_Q01,B,R2,true,false,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\B\PL001_EnvQuality_Q01.json,b227933172d18e198d2e1ba52337926148f689e6c5359c525ea09ed62073f708
PL001_EnvQuality_Q01,C,R3,false,true,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\C\PL001_EnvQuality_Q01.json,4c27d23e6b4134c3a72d198a22b6ac7b645b8aa7fda4a97e058f545da0239556
PL001_EnvQuality_Q01,D,R4,true,true,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\D\PL001_EnvQuality_Q01.json,b4b6d150b7158b802dc082002993a62fa202ff4a0a06aa74eb16a08e9722d9ba
PL001_V01_Q01,A,R1,false,false,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\A\PL001_V01_Q01.json,bb2a53ecbbec53f7bc1b8b2e4d0acd762829558f82de380af864c2998ecf1a9c
PL001_V01_Q01,B,R2,true,false,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\B\PL001_V01_Q01.json,ae17bcf3936e8762b8ad0841077f2effc993bae981b69621725839ad95917914
PL001_V01_Q01,C,R3,false,true,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\C\PL001_V01_Q01.json,090de763bdf299af57825129e95858a25d138954fc0150654a740c35f55f53a3
PL001_V01_Q01,D,R4,true,true,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\D\PL001_V01_Q01.json,ff53b98edff2dccc25d2271fd82d2adf94ade6853a8c22cd0dd651da493ebd88
PL002_Emission_噪声,A,R1,false,false,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\A\PL002_Emission_噪声.json,2c6450bf4dc3b530b0f51516c4ff454227242417c67e9db58e38d52b3de21f46
PL002_Emission_噪声,B,R2,true,false,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\B\PL002_Emission_噪声.json,e775a7ae6c4fb08e8db91ef8680e733f37237f5e46ffbd8fb1df0d85ccfe36de
PL002_Emission_噪声,C,R3,false,true,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\C\PL002_Emission_噪声.json,2ea368dcc8cac99866458bf869802d2dc3d040febc5618cd95104357b34cde6f
PL002_Emission_噪声,D,R4,true,true,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\D\PL002_Emission_噪声.json,f31e984737227465ca720a207d204d8eb83be95c0a263c880dd10364f4b304be
PL002_Emission_固体,A,R1,false,false,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\A\PL002_Emission_固体.json,8282920ed2f4b617f962b37d32b901485140b32d321d9c6db94227611e1a80fb
PL002_Emission_固体,B,R2,true,false,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\B\PL002_Emission_固体.json,1a13fa14f4585ebacdb7448265bdc72009622eea90e7bf47ae9cf1f6e8b66ba5
PL002_Emission_固体,C,R3,false,true,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\C\PL002_Emission_固体.json,fda3af96654aea299cd127c0c5fb5629878710926a2e77c2afa8f0e6dbc8fab5
PL002_Emission_固体,D,R4,true,true,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\D\PL002_Emission_固体.json,6a84b25a4182a2ff79dae7051981b6ce6ad380bd7ab81a23b33ee48b9b2ed02b
PL002_Emission_大气,A,R1,false,false,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\A\PL002_Emission_大气.json,30fe7846a30a67e626e9ac3b0f42c8aef5f29e92a1af6e78cf044558a118e851
PL002_Emission_大气,B,R2,true,false,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\B\PL002_Emission_大气.json,afe4a5ea02e6ebe7778cef4c1517e8701ffed1838979e5d0c89e3f0d2f650920
PL002_Emission_大气,C,R3,false,true,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\C\PL002_Emission_大气.json,a2a31538b2cc6ca9fe46cd1767e8131e31b3d17eb33a815dacdb3a3f30c89fed
PL002_Emission_大气,D,R4,true,true,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\D\PL002_Emission_大气.json,dad84cfb9c2588307ba1193aebd8f16a9d656cd5af9e6f0a3acfca7dc0e88066
PL002_EnvQuality_Q01,A,R1,false,false,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\A\PL002_EnvQuality_Q01.json,954af1b8b868e55efc2284db4ff2b13e110c283c7881569a9f452a5a2e9062f2
PL002_EnvQuality_Q01,B,R2,true,false,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\B\PL002_EnvQuality_Q01.json,eea0ad2a9c21db17ab67d4794f4e46f0a075c00312cf3f0e670853843035364d
PL002_EnvQuality_Q01,C,R3,false,true,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\C\PL002_EnvQuality_Q01.json,8f57191e7fc8e13dac3427ff258cbd2cd43488ea25f74a6aab51af43412def80
PL002_EnvQuality_Q01,D,R4,true,true,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\D\PL002_EnvQuality_Q01.json,7e6b3c17933d4a6ce3ac24b3129efe206a7de73c1f514a82984bd42de6f0ee87
PL002_V01_Q01,A,R1,false,false,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\A\PL002_V01_Q01.json,1f1327c167652ffbcb69e0b72f1fd0e7fc65fd4529ba668b97e4278d8da899b8
PL002_V01_Q01,B,R2,true,false,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\B\PL002_V01_Q01.json,833e919d3f629a18884af7e3977765c1a546bb6be52ff694f4fb2f203de1917d
PL002_V01_Q01,C,R3,false,true,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\C\PL002_V01_Q01.json,166b36c1a9e547561c1ac329eb9dbb387e2e893e5856bb4fcf895b057e073d80
PL002_V01_Q01,D,R4,true,true,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\D\PL002_V01_Q01.json,d6d03dc2422ac1dd8e9101ef37d94bdaf8027f250fcef2a40a476e6ed057a6e4
PL003_Emission_噪声,A,R1,false,false,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\A\PL003_Emission_噪声.json,0fee4e1be51c5eaa503404df21e1ffb815d73d08521f6c7afb4c1a6cc5122bff
PL003_Emission_噪声,B,R2,true,false,E:\实验文件整理_按论文逻辑\06_ABCD四组实验结果\第五阶段_qwen3.8-max_冻结实验_20260812\parsed_outputs\B\PL003_Emission_噪声.json,4c9ab379afb69c2efb81e9565aee2f0af0d0bceb649cec8248b98413229612f6
