"category","question_id","project_id","question","skill_id","core_answer_sources","actual_top5_sources"
"国民经济行业分类","PL001_V01_Q01","PL001","请结合项目产品、原辅材料和生产工艺，判断该报告行业类别是否基本合理。","review-eia-industry-classification","national_economic_classification.jsonl","national_economic_classification.json；national_economic_classification.jsonl；plastic_rubber_industry_classification_checked.md；#9_塑料制品业产污系数_废气_官方手册.md；HJ_1122-2020.md"
"国民经济行业分类","PL002_V01_Q01","PL002","请结合项目产品、原辅材料和生产工艺，判断该报告是否适合作为塑胶行业种子问答样本，并判断行业类别是否基本合理。","review-eia-industry-classification","national_economic_classification.jsonl；plastic_rubber_industry_classification_checked.md","national_economic_classification.jsonl；plastic_rubber_industry_classification_checked.md；#9_塑料制品业产污系数_废气_速查.md；national_economic_classification.json；#8_塑料制品业典型污染源及执行标准.csv"
"国民经济行业分类","PL003_V01_Q01","PL003","请结合项目产品、原辅材料和生产工艺，判断该报告行业类别是否基本合理。","review-eia-industry-classification","national_economic_classification.jsonl；plastic_rubber_industry_classification_checked.md","plastic_rubber_industry_classification_checked.md；#9_塑料制品业产污系数_废气_官方手册.md；national_economic_classification.json；HJ_1207-2021.md；HJ_1122-2020.md"
"国民经济行业分类","PL004_V01_Q01","PL004","请结合项目产品、原辅材料和生产工艺，判断该报告行业类别是否基本合理。","review-eia-industry-classification","national_economic_classification.jsonl；plastic_rubber_industry_classification_checked.md","national_economic_classification.jsonl；#9_塑料制品业产污系数_废气_官方手册.md；national_economic_classification.json；#8_塑料制品业典型污染源及执行标准.md；#9_塑料制品业产污系数_废气_速查.md"
"环境质量数据引用","PL001_EnvQuality_Q01","PL001","请根据报告引用的环境质量公报及现状数据，判断大气和地表水环境质量现状数据引用是否准确。","review-eia-environmental-quality-data","#6_2023年佛山市顺德区生态环境状态公报.txt；#6_2024年佛山市顺德区生态环境状态公报.txt","GB_3095-2012.md；EVID_ENV_SHUNDE_2022.md；#6_2023年佛山市顺德区生态环境状态公报.txt；#6_2024年佛山市顺德区生态环境状态公报.txt；#7_环境质量标准限值速查.md"
"环境质量数据引用","PL002_EnvQuality_Q01","PL002","请根据报告引用的环境质量公报及现状数据，判断大气和地表水环境质量现状数据引用是否准确。","review-eia-environmental-quality-data","#6_2023年佛山市顺德区生态环境状态公报.txt；#6_2024年佛山市顺德区生态环境状态公报.txt","GB_3095-2012.md；EVID_ENV_SHUNDE_2022.md；#6_2023年佛山市顺德区生态环境状态公报.txt；#6_2024年佛山市顺德区生态环境状态公报.txt；#7_环境质量标准限值速查.md"
"环境质量数据引用","PL006_EnvQuality_Q01","PL006","请根据报告引用的环境质量公报及现状数据，判断大气和地表水环境质量现状数据引用是否准确。","review-eia-environmental-quality-data","#6_2023年佛山市顺德区生态环境状态公报.txt；#6_2024年佛山市顺德区生态环境状态公报.txt","GB_3838-2002.md；GB_3095-2012.md；#6_2023年佛山市顺德区生态环境状态公报.txt；#6_2024年佛山市顺德区生态环境状态公报.txt；EVID_ENV_SHUNDE_2022.md"
"环评投资概算","PL003_V01_Q03","PL003","请根据报告中的总投资、环保投资和环保工程投资明细，判断环保投资核算是否前后一致、比例是否正确。","calculate-eia-environmental-investment-ratio","#2_环评投资核算指南.md","#2_环评投资核算指南.md；HJ_884-2018.md；DB44_26-2001.md；EVID_HW_LIST_2025.md；plastic_rubber_industry_classification_checked.md"
"大气污染物排放标准","PL002_Emission_大气","PL002","请根据项目行业类别、生产工艺和污染因子，判断大气污染物排放标准选取是否合理。要求分析：污染源覆盖是否完整（列出所有大气污染源及对应标准），是否存在缺漏的污染源或标准。","review-eia-pollutant-discharge-standards","GB_31572-2015.md；GB_14554-93.md；DB44_2367-2022.md","DB44_2367-2022.md；GB_31572-2015.md；GB_14554-93.md；#8_GB31572表4排放限值.md；HJ_1122-2020.md"
"水污染物排放标准","PL003_Emission_水污","PL003","请根据报告中的废水类型、预处理方式、排放去向、企业排口标准、污水处理厂名称、尾水排放河道和尾水执行标准，判断水污染物排放标准选取是否合理。要求对比：生活污水排放标准+排入污水处理厂名称+尾水排放河道+尾水排放执行标准，报告与知识库是否一致。","review-eia-pollutant-discharge-standards","#7_收纳水体地表水执行标准.csv；DB44_26-2001.md","GB_3838-2002.md；DB44_26-2001.md；GB_3095-2012.md；#7_环境质量标准限值速查.md；#7_收纳水体地表水执行标准.csv"
"水污染物排放标准","PL004_Emission_水污","PL004","请根据报告中的废水类型、预处理方式、排放去向、企业排口标准、污水处理厂名称、尾水排放河道和尾水执行标准，判断水污染物排放标准选取是否合理。要求对比：生活污水排放标准+排入污水处理厂名称+尾水排放河道+尾水排放执行标准，报告与知识库是否一致。","review-eia-pollutant-discharge-standards","#7_收纳水体地表水执行标准.csv；DB44_26-2001.md；GB_T_18920-2020.md","GB_T_18920-2020.md；#8_塑料制品业典型污染源及执行标准.csv；#8_塑料制品业典型污染源及执行标准.md；#7_环境质量标准限值速查.md；EVID_GB18918_CURRENT.md"
"水污染物排放标准","PL005_Emission_水污","PL005","请根据报告中的废水类型、预处理方式、排放去向、企业排口标准、污水处理厂名称、尾水排放河道和尾水执行标准，判断水污染物排放标准选取是否合理。要求对比：生活污水排放标准+排入污水处理厂名称+尾水排放河道+尾水排放执行标准，报告与知识库是否一致。","review-eia-pollutant-discharge-standards","#7_收纳水体地表水执行标准.csv；DB44_26-2001.md；GB_T_18920-2020.md","GB_T_18920-2020.md；DB44_26-2001.md；#7_环境质量标准限值速查.md；#7_收纳水体地表水执行标准.csv；#8_塑料制品业典型污染源及执行标准.md"
"噪声排放标准","PL002_Emission_噪声","PL002","请根据项目所属声环境功能区类别，判断噪声排放标准选取是否合理。要求总结声功能区类型、厂界执行标准（GB12348-2008）及昼夜限值，并与环评编制内容进行一致性分析。","review-eia-pollutant-discharge-standards","GB_12348-2008.md；#7_GB12348噪声排放限值.md","GB_12348-2008.md；GB_3096-2008.md；EVID_GB34330_2017.md；DB44_26-2001.md；#7_GB12348噪声排放限值.md"
