行业,污染物排放控制标准,类型,主要原辅材料,工序/污染源,产生,主要污染因子,排放形式,对应执行标准,排放限值
塑料制品业,大气污染物排放标准,废气,"以合成树脂原料为主；
例如：聚对苯二甲酸乙二醇酯（PET）、高密度聚乙烯（HDPE）、高压聚乙烯（LDPE）、线性低密度聚乙烯（LLDPE）、聚酰胺（PA）、聚对苯二甲酸丁二醇酯（PBT）、聚丙烯（PP）、尼龙塑料聚酰胺6或尼龙6（PA6）、聚碳酸酯（PC）、高抗聚苯乙烯（GPPS）、热塑性聚氨酯弹性体（TPU）、丙烯腈(A)丁二烯(B)苯乙烯(S)三元共聚物（ABS）、聚苯乙烯（PS））",注塑成型、注塑、挤出吹膜、挤出、分切、注射、压制、压延、发泡,有机废气,非甲烷总烃,有组织,有组织排放废气中非甲烷总烃执行《合成树脂工业污染物排放标准》（GB 31572-2015（含2024 年修改单））表4限值,非甲烷总烃最高允许排放浓度限值：100mg/m³
,,废气,"以合成树脂原料为主；
例如：聚对苯二甲酸乙二醇酯（PET）、高密度聚乙烯（HDPE）、高压聚乙烯（LDPE）、线性低密度聚乙烯（LLDPE）、聚酰胺（PA）、聚对苯二甲酸丁二醇酯（PBT）、聚丙烯（PP）、尼龙塑料聚酰胺6或尼龙6（PA6）、聚碳酸酯（PC）、高抗聚苯乙烯（GPPS）、热塑性聚氨酯弹性体（TPU）、丙烯腈(A)丁二烯(B)苯乙烯(S)三元共聚物（ABS）、聚苯乙烯（PS））",注塑成型、注塑、挤出吹膜、挤出、分切、注射、压制、压延、发泡,有机废气,非甲烷总烃,厂区内无组织,厂区内无组织排放的非甲烷总烃执行《固定污染源挥发性有机物综合排放标准》（DB44/2367-2022）表3限值,非甲烷总烃监测点处1h平均浓度值≤6mg/m³、非甲烷总烃监测点处任意一次浓度值≤20mg/m³
,,废气,"以合成树脂原料为主；
例如：聚对苯二甲酸乙二醇酯（PET）、高密度聚乙烯（HDPE）、高压聚乙烯（LDPE）、线性低密度聚乙烯（LLDPE）、聚酰胺（PA）、聚对苯二甲酸丁二醇酯（PBT）、聚丙烯（PP）、尼龙塑料聚酰胺6或尼龙6（PA6）、聚碳酸酯（PC）、高抗聚苯乙烯（GPPS）、热塑性聚氨酯弹性体（TPU）、丙烯腈(A)丁二烯(B)苯乙烯(S)三元共聚物（ABS）、聚苯乙烯（PS））",注塑成型、注塑、挤出吹膜、挤出、分切、注射、压制、压延、发泡,有机废气,非甲烷总烃,厂界无组织,厂界无组织排放的非甲烷总烃执行《合成树脂工业污染物排放标准》（GB 31572-2015（含2024 年修改单））表9限值,无组织排放监控浓度限值：4mg/m³
,,废气,以合成树脂原料为主：但涉及聚氯乙烯（PVC）的,注塑成型、注塑、挤出吹膜、挤出、分切、注射、压制、压延、发泡,有机废气,非甲烷总烃,有组织,有组织排放废气中非甲烷总烃执行《固定污染源挥发性有机物综合排放标准》（DB44/2367-2022）表1限值,非甲烷总烃最高允许排放浓度限值：80mg/m³
,,废气,以合成树脂原料为主：但涉及聚氯乙烯（PVC）的,注塑成型、注塑、挤出吹膜、挤出、分切、注射、压制、压延、发泡,有机废气,非甲烷总烃,厂区内无组织,厂区内无组织排放的非甲烷总烃执行《固定污染源挥发性有机物综合排放标准》（DB44/2367-2022）表3限值,非甲烷总烃监测点处1h平均浓度值≤6mg/m³、非甲烷总烃监测点处任意一次浓度值≤20mg/m³
,,废气,"以合成树脂原料为主；
例如：聚对苯二甲酸乙二醇酯（PET）、高密度聚乙烯（HDPE）、高压聚乙烯（LDPE）、线性低密度聚乙烯（LLDPE）、聚酰胺（PA）、聚对苯二甲酸丁二醇酯（PBT）、聚丙烯（PP）、尼龙塑料聚酰胺6或尼龙6（PA6）、聚碳酸酯（PC）、高抗聚苯乙烯（GPPS）、热塑性聚氨酯弹性体（TPU）、丙烯腈(A)丁二烯(B)苯乙烯(S)三元共聚物（ABS）、聚苯乙烯（PS））",注塑成型、注塑、挤出吹膜、挤出、分切、注射、压制、压延、发泡,恶臭气体,臭气浓度,有组织,有组织排放臭气浓度执行《恶臭污染物排放标准》（GB 14554-93）表2排放限值,最高允许排放浓度：2000（无量纲）
,,废气,"以合成树脂原料为主；
例如：聚对苯二甲酸乙二醇酯（PET）、高密度聚乙烯（HDPE）、高压聚乙烯（LDPE）、线性低密度聚乙烯（LLDPE）、聚酰胺（PA）、聚对苯二甲酸丁二醇酯（PBT）、聚丙烯（PP）、尼龙塑料聚酰胺6或尼龙6（PA6）、聚碳酸酯（PC）、高抗聚苯乙烯（GPPS）、热塑性聚氨酯弹性体（TPU）、丙烯腈(A)丁二烯(B)苯乙烯(S)三元共聚物（ABS）、聚苯乙烯（PS））",注塑成型、注塑、挤出吹膜、挤出、分切、注射、压制、压延、发泡,恶臭气体,臭气浓度,厂界无组织,厂界无组织排放的臭气浓度执行《恶臭污染物排放标准》（GB 14554-93）表1新改扩建二级排放限值,无组织排放浓度限值：20（无量纲）
,,废气,/,投料、混料、切粒、分散、破碎、机加工、模具维修、,粉尘,颗粒物,有组织,有组织排放执行广东省《大气污染物排放限值》（DB 44/27-2001）第二时段最高允许排放浓度限值,最高允许排放浓度限值：120mg/m³
,,废气,/,投料、混料、切粒、分散、破碎、机加工、模具维修、,粉尘,颗粒物,厂界无组织,厂界无组织排放执行广东省《大气污染物排放限值》（DB 44/27-2001）第二时段无组织排放监控浓度限值,无组织排放监控浓度限值：1.0mg/m³
,水污染物排放标准,废水,生活用水,办公,生活污水,CODCr、NH3-N、SS、BOD5等,预处理后排放,生活污水经预处理排放标准：到广东省地方标准《水污染物排放限值》（DB44/26-2001）第二时段三级标准,
