question_id,external_rule_required,rag_snapshot_available,web_snapshot_available,expected_source_title,kb_coverage_verdict,notes
NEW_PL001_invest_ratio,YES,YES,YES,待审计确认,PARTIAL,快照存在但未审计是否包含决定性条款
NEW_PL006_invest_ratio,YES,YES,YES,待审计确认,PARTIAL,快照存在但未审计是否包含决定性条款
NEW_PL010_invest_ratio,YES,YES,YES,待审计确认,PARTIAL,快照存在但未审计是否包含决定性条款
NEW_PL015_invest_ratio,YES,YES,YES,待审计确认,PARTIAL,快照存在但未审计是否包含决定性条款
PL001_Emission_固体,YES,YES,YES,待审计确认,PARTIAL,快照存在但未审计是否包含决定性条款
PL002_V01_Q01,YES,YES,YES,待审计确认,PARTIAL,快照存在但未审计是否包含决定性条款
PL005_Emission_固体,YES,YES,YES,待审计确认,PARTIAL,快照存在但未审计是否包含决定性条款
PL004_V01_Q01,YES,YES,YES,待审计确认,PARTIAL,快照存在但未审计是否包含决定性条款
PL008_VOCSTotal_Q01,YES,YES,YES,待审计确认,PARTIAL,快照存在但未审计是否包含决定性条款
PL008_VOCSMeasure_Q01,YES,NO,YES,待审计确认,PARTIAL,该题无RAG快照，需补充检索
NEW_PL006_living_wastewater,YES,YES,YES,待审计确认,PARTIAL,快照存在但未审计是否包含决定性条款
NEW_PL007_ro_water,YES,YES,YES,待审计确认,PARTIAL,快照存在但未审计是否包含决定性条款
PL007_CaptureEfficiency_Q01,YES,YES,YES,待审计确认,PARTIAL,快照存在但未审计是否包含决定性条款
PL008_DesignAirflow_Q01,YES,YES,YES,待审计确认,PARTIAL,快照存在但未审计是否包含决定性条款
PL013_HazardousWaste_Q01,YES,YES,YES,待审计确认,PARTIAL,快照存在但未审计是否包含决定性条款
PL014_CaptureAirflow_Q01,YES,YES,YES,待审计确认,PARTIAL,快照存在但未审计是否包含决定性条款
H01_PL004_DesignAirflow,YES,NO,NO,待审计确认,MISSING,该题无RAG快照，需补充检索
H02_PL004_VOCsMassBalance,YES,NO,NO,待审计确认,MISSING,该题无RAG快照，需补充检索
H03_PL004_HWClassify_OilBarrel,YES,NO,NO,待审计确认,MISSING,该题无RAG快照，需补充检索
H06_PL010_VOCsTotalSubstitution,YES,NO,NO,待审计确认,MISSING,该题无RAG快照，需补充检索
H07_PL015_HWStorageStandard,YES,NO,NO,待审计确认,MISSING,该题无RAG快照，需补充检索
H09_PL006_FencelineNMHC,YES,NO,NO,待审计确认,MISSING,该题无RAG快照，需补充检索
H10_PL002_StackHeightRate,YES,NO,NO,待审计确认,MISSING,该题无RAG快照，需补充检索
